dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
abalone_1,AdaBoost,0.3333333333333333,['impute_standard' 'impute_random' 'impute_mice' 'impute_random_forest' 'impute_linear_regression' 'impute_cmeans' 'impute_median' 'impute_mean' 'impute_knn'],['impute_random_forest' 'impute_random' 'impute_knn' 'impute_standard' 'impute_mice' 'impute_cmeans' 'impute_linear_regression' 'impute_mean' 'impute_median'],[ 0.         -0.004618   -0.03827891 -0.03827891 -0.04194569 -0.04969761 -0.0549381  -0.05603266 -0.10680202],[ 0.01374627  0.01353952  0.00164988  0.         -0.00081288 -0.00084802 -0.00292687 -0.00475868 -0.0071822 ],0.4523375
abalone_1,SVC,0.1111111111111111,['impute_standard' 'impute_random' 'impute_cmeans' 'impute_linear_regression' 'impute_mean' 'impute_knn' 'impute_mice' 'impute_random_forest' 'impute_median'],['impute_random' 'impute_standard' 'impute_linear_regression' 'impute_random_forest' 'impute_mean' 'impute_mice' 'impute_cmeans' 'impute_median' 'impute_knn'],[ 0.         -0.06581206 -0.1099722  -0.12713749 -0.1566794  -0.16017844 -0.17608987 -0.19429001 -0.19657115],[ 0.00080643  0.         -0.01018626 -0.01061785 -0.01400617 -0.01410095 -0.01454744 -0.01523924 -0.01671885],0.4523375
abalone_2,DecisionTree,0.1111111111111111,['impute_random' 'impute_random_forest' 'impute_mice' 'impute_linear_regression' 'impute_knn' 'impute_cmeans' 'impute_median' 'impute_mean' 'impute_standard'],['impute_random' 'impute_cmeans' 'impute_knn' 'impute_random_forest' 'impute_standard' 'impute_mean' 'impute_linear_regression' 'impute_median' 'impute_mice'],[0.04789681 0.03100762 0.02849251 0.02825229 0.01701492 0.00568799 0.0053056  0.00060203 0.        ],[ 0.01052152  0.00078161  0.00043145  0.00015534  0.         -0.00022592 -0.00049338 -0.00092116 -0.00093683],0.3993124999999999
abalone_2,LogisticRegression,0.4444444444444444,['impute_standard' 'impute_random' 'impute_knn' 'impute_median' 'impute_mean' 'impute_cmeans' 'impute_mice' 'impute_linear_regression' 'impute_random_forest'],['impute_standard' 'impute_random' 'impute_linear_regression' 'impute_mice' 'impute_mean' 'impute_median' 'impute_cmeans' 'impute_knn' 'impute_random_forest'],[ 0.         -0.30126908 -0.44482081 -0.49356009 -0.50354948 -0.51803363 -0.52037034 -0.52219396 -0.52568153],[ 0.         -0.00528537 -0.01386716 -0.01435059 -0.01666212 -0.01775471 -0.01777608 -0.02675224 -0.02763395],0.3993124999999999
abalone_2,KNN,0.2222222222222222,['impute_random' 'impute_mean' 'impute_median' 'impute_cmeans' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_linear_regression' 'impute_standard'],['impute_random' 'impute_standard' 'impute_knn' 'impute_median' 'impute_cmeans' 'impute_mean' 'impute_random_forest' 'impute_linear_regression' 'impute_mice'],[0.04778088 0.02625535 0.0198826  0.01712061 0.01566313 0.01066947 0.00882686 0.00125411 0.        ],[ 0.01015731  0.         -0.00088858 -0.00092334 -0.00113938 -0.00117879 -0.00180879 -0.00254473 -0.00298959],0.3993124999999999
abalone_2,RandomForest,0.2222222222222222,['impute_random' 'impute_random_forest' 'impute_knn' 'impute_mice' 'impute_linear_regression' 'impute_standard' 'impute_median' 'impute_mean' 'impute_cmeans'],['impute_random' 'impute_knn' 'impute_linear_regression' 'impute_cmeans' 'impute_median' 'impute_random_forest' 'impute_mice' 'impute_mean' 'impute_standard'],[ 0.03141005  0.01185565  0.01084752  0.01039735  0.00303082  0. -0.00450826 -0.01244148 -0.0151693 ],[0.01203213 0.00217997 0.00127408 0.00092549 0.00082616 0.00069797 0.00060889 0.00021949 0.        ],0.3993124999999999
abalone_2,AdaBoost,0.2222222222222222,['impute_random' 'impute_standard' 'impute_median' 'impute_mean' 'impute_cmeans' 'impute_knn' 'impute_linear_regression' 'impute_random_forest' 'impute_mice'],['impute_random' 'impute_linear_regression' 'impute_median' 'impute_cmeans' 'impute_mice' 'impute_mean' 'impute_standard' 'impute_knn' 'impute_random_forest'],[ 0.0549763   0.         -0.04116482 -0.04139676 -0.06513234 -0.07471544 -0.07771979 -0.07771979 -0.08064323],[ 0.01214848  0.002344    0.00037305  0.00028441  0.00022369  0.0001548  0.         -0.0007179  -0.00083639],0.3993124999999999
abalone_2,SVC,0.1111111111111111,['impute_standard' 'impute_random' 'impute_knn' 'impute_cmeans' 'impute_median' 'impute_random_forest' 'impute_mean' 'impute_linear_regression' 'impute_mice'],['impute_standard' 'impute_linear_regression' 'impute_median' 'impute_mice' 'impute_mean' 'impute_cmeans' 'impute_random' 'impute_random_forest' 'impute_knn'],[ 0.         -0.11426137 -0.1518462  -0.16061973 -0.17354332 -0.18349772 -0.20167428 -0.20295624 -0.20700565],[ 0.         -0.0045299  -0.00502905 -0.00902772 -0.00982912 -0.01044023 -0.02867453 -0.05635045 -0.07003226],0.3993124999999999
abalone_3,DecisionTree,0.1111111111111111,['impute_random' 'impute_knn' 'impute_standard' 'impute_linear_regression' 'impute_random_forest' 'impute_mice' 'impute_median' 'impute_mean' 'impute_cmeans'],['impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_knn' 'impute_standard' 'impute_cmeans' 'impute_median' 'impute_mean'],[ 0.01051672  0.00880525  0.         -0.0108116  -0.01099175 -0.01121311 -0.01538626 -0.01632583 -0.03040742],[ 0.05359131  0.0107344   0.00457788  0.00184189  0.00080907  0. -0.00202258 -0.00246376 -0.00322945],0.3489875
abalone_3,LogisticRegression,0.5555555555555556,['impute_standard' 'impute_random' 'impute_knn' 'impute_mean' 'impute_median' 'impute_linear_regression' 'impute_cmeans' 'impute_mice' 'impute_random_forest'],['impute_standard' 'impute_random' 'impute_median' 'impute_mean' 'impute_cmeans' 'impute_linear_regression' 'impute_mice' 'impute_knn' 'impute_random_forest'],[ 0.         -0.26987814 -0.391603   -0.44871523 -0.44964362 -0.47864481 -0.48006305 -0.48063273 -0.48300068],[ 0.         -0.04886681 -0.1034453  -0.10790236 -0.11443733 -0.11848827 -0.12168957 -0.12618049 -0.12726546],0.3489875
