dataset,model,technique,real,pred,perc_completeness
abalone_0,DecisionTree,impute_standard,0.0,0.0,0.4976624999999999
abalone_1,DecisionTree,impute_standard,0.0,0.0,0.4523375
abalone_2,DecisionTree,impute_standard,0.0,0.0,0.3993124999999999
abalone_3,DecisionTree,impute_standard,0.0,0.0,0.3489875
abalone_4,DecisionTree,impute_standard,0.0,0.0,0.300075
abalone_5,DecisionTree,impute_standard,0.0,0.0,0.2515374999999999
abalone_6,DecisionTree,impute_standard,0.0,0.0,0.1993499999999999
abalone_7,DecisionTree,impute_standard,0.0,0.0,0.146475
abalone_8,DecisionTree,impute_standard,0.0,0.0,0.1052125
abalone_9,DecisionTree,impute_standard,0.0,0.0,0.0518875
abalone_0,DecisionTree,impute_mean,-0.0001463752758017467,0.002234409925324069,0.4976624999999999
abalone_1,DecisionTree,impute_mean,-0.0004922296238385471,0.0025802866533120696,0.4523375
abalone_2,DecisionTree,impute_mean,0.0006020338230566802,-0.00022592194893084538,0.3993124999999999
abalone_3,DecisionTree,impute_mean,-0.01632582957883333,-0.003229453455624712,0.3489875
abalone_4,DecisionTree,impute_mean,-0.008976587121876323,-0.00017297646234050643,0.300075
abalone_5,DecisionTree,impute_mean,-0.03065918487380337,0.000852189159576579,0.2515374999999999
abalone_6,DecisionTree,impute_mean,-0.03741450687276626,-5.1016916507960556e-05,0.1993499999999999
abalone_7,DecisionTree,impute_mean,-0.03616317244245981,-7.752636606097913e-05,0.146475
abalone_8,DecisionTree,impute_mean,-0.017524981639669424,0.0004746456704301722,0.1052125
abalone_9,DecisionTree,impute_mean,-0.02495467224481196,5.3042864415691375e-05,0.0518875
abalone_0,DecisionTree,impute_median,0.010019381495584456,0.004924447682054343,0.4976624999999999
abalone_1,DecisionTree,impute_median,-0.005264313083977568,0.003891609289229752,0.4523375
abalone_2,DecisionTree,impute_median,0.005305601271476945,-0.0009211624188815033,0.3993124999999999
abalone_3,DecisionTree,impute_median,-0.015386263788407017,-0.0024637551128356716,0.3489875
abalone_4,DecisionTree,impute_median,-0.01572708063867445,-0.0003477653002883782,0.300075
abalone_5,DecisionTree,impute_median,-0.04352601862802552,0.0010028344108932638,0.2515374999999999
abalone_6,DecisionTree,impute_median,-0.039820807789362034,8.358010560154712e-06,0.1993499999999999
abalone_7,DecisionTree,impute_median,-0.0223185894044724,-0.00027256170159883274,0.146475
abalone_8,DecisionTree,impute_median,-0.007012321933348442,0.000204572356595437,0.1052125
abalone_9,DecisionTree,impute_median,-0.010854570213537196,9.43839987621312e-05,0.0518875
abalone_0,DecisionTree,impute_random,0.013924193811830299,0.023835248981157176,0.4976624999999999
abalone_1,DecisionTree,impute_random,0.052031635103012785,0.025769402182403967,0.4523375
abalone_2,DecisionTree,impute_random,0.04789680573225785,0.010521518929415023,0.3993124999999999
abalone_3,DecisionTree,impute_random,0.010516718814785442,0.053591314730722456,0.3489875
abalone_4,DecisionTree,impute_random,0.03732587360422124,0.00605409594096603,0.300075
abalone_5,DecisionTree,impute_random,0.001661400888702036,0.011075160648100057,0.2515374999999999
