name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
abalone,Sex,4177,0.4932,0.3632,1.1634,0.0014,0.6656,1.0965,2.0728,1.0,0.0,nan,nan,1.0,1.0,DecisionTree,0.20917539188388337,0.2152120115166522,0.2092680771321981,0.20996432891713618,0.20996432891713618,0.2134824387151927,0.211606907779072,0.2152120115166522
abalone,Sex,4177,0.4932,0.3632,1.1634,0.0014,0.6656,1.0965,2.0728,1.0,0.0,nan,nan,1.0,1.0,LogisticRegression,0.22035848641829436,0.21513884163772956,0.20970711355541807,0.21724882583661426,0.21724882583661426,0.22629501754866,0.22778337052936462,0.21513884163772956
abalone,Sex,4177,0.4932,0.3632,1.1634,0.0014,0.6656,1.0965,2.0728,1.0,0.0,nan,nan,1.0,1.0,KNN,0.18978862212730485,0.1912252537875413,0.18694216197780072,0.18718566451711915,0.18718566451711915,0.18975861782328754,0.1866789144004712,0.1912252537875413
abalone,Sex,4177,0.4932,0.3632,1.1634,0.0014,0.6656,1.0965,2.0728,1.0,0.0,nan,nan,1.0,1.0,RandomForest,0.21235533159527228,0.2145550459804036,0.2160173473257042,0.2179168919764046,0.21426548454542002,0.21719607198045576,0.2164050923689833,0.2206065696624003
abalone,Sex,4177,0.4932,0.3632,1.1634,0.0014,0.6656,1.0965,2.0728,1.0,0.0,nan,nan,1.0,1.0,AdaBoost,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726
abalone,Sex,4177,0.4932,0.3632,1.1634,0.0014,0.6656,1.0965,2.0728,1.0,0.0,nan,nan,1.0,1.0,SVC,0.17297553887418726,0.12533368346973384,0.1705520383051674,0.1610178471674904,0.1610178471674904,0.1652716097988714,0.1714058533105066,0.12533368346973384
abalone,Sex,4177,0.4453,0.3638,1.2095,0.0013,0.665,1.0956,1.6306,1.0,0.0,nan,nan,1.0,1.0,DecisionTree,0.21222181563048337,0.20723575177743353,0.20464440511461124,0.2053937919145521,0.20501555494001772,0.210633449260744,0.204520085802452,0.20723575177743353
abalone,Sex,4177,0.4453,0.3638,1.2095,0.0013,0.665,1.0956,1.6306,1.0,0.0,nan,nan,1.0,1.0,LogisticRegression,0.22426643337417662,0.2175200051757887,0.21509909290226795,0.21859390467434472,0.21881529323799123,0.22686571978830328,0.2244711441028127,0.2175200051757887
abalone,Sex,4177,0.4453,0.3638,1.2095,0.0013,0.665,1.0956,1.6306,1.0,0.0,nan,nan,1.0,1.0,KNN,0.18721409990380625,0.1824566408835209,0.17534276127726087,0.19181020938036125,0.19271183187878316,0.18816900130162614,0.18743223781045493,0.1824566408835209
abalone,Sex,4177,0.4453,0.3638,1.2095,0.0013,0.665,1.0956,1.6306,1.0,0.0,nan,nan,1.0,1.0,RandomForest,0.2225716925618964,0.22107981406666088,0.20715606606400253,0.21276429976849953,0.21206374649878035,0.2166386902398668,0.21468139972116002,0.22044153542694545
abalone,Sex,4177,0.4453,0.3638,1.2095,0.0013,0.665,1.0956,1.6306,1.0,0.0,nan,nan,1.0,1.0,AdaBoost,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726
