name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
abalone,Sex,4177,0.5044,0.3734,1.2408,0.0014,0.6643,1.0946,4.8607,1.0,0.0,nan,nan,1.0,1.0,DecisionTree,0.2110293242817179,0.2086300940503074,0.2109892799614581,0.2090990994179892,0.2090990994179892,0.20998525798917533,0.21090781702264882,0.2086300940503074
abalone,Sex,4177,0.5044,0.3734,1.2408,0.0014,0.6643,1.0946,4.8607,1.0,0.0,nan,nan,1.0,1.0,LogisticRegression,0.23016340809394054,0.2235325201430785,0.21994913942947414,0.22233809421717352,0.22354749280881026,0.2252323432658095,0.22444342834103365,0.2235325201430785
abalone,Sex,4177,0.5044,0.3734,1.2408,0.0014,0.6643,1.0946,4.8607,1.0,0.0,nan,nan,1.0,1.0,KNN,0.2014086155644835,0.19382119044146773,0.20499439409221143,0.19008047459577834,0.19005111134423536,0.20513997275763504,0.2028118019306146,0.19382119044146773
abalone,Sex,4177,0.5044,0.3734,1.2408,0.0014,0.6643,1.0946,4.8607,1.0,0.0,nan,nan,1.0,1.0,RandomForest,0.21761906926467062,0.22209701210683366,0.21850323229212962,0.211993137325658,0.21428108198672965,0.22087437698837914,0.21846929495493292,0.21902139835066942
abalone,Sex,4177,0.5044,0.3734,1.2408,0.0014,0.6643,1.0946,4.8607,1.0,0.0,nan,nan,1.0,1.0,AdaBoost,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726,0.09865007551438726
abalone,Sex,4177,0.5044,0.3734,1.2408,0.0014,0.6643,1.0946,4.8607,1.0,0.0,nan,nan,1.0,1.0,SVC,0.16156617008098828,0.1331156445657946,0.17151231631706632,0.1502003707464277,0.14938441566934124,0.1472076563417327,0.16100779395892342,0.1331156445657946
abalone,Sex,4177,0.451,0.3703,1.1891,0.0013,0.6649,1.0956,2.0232,1.0,0.0,nan,nan,1.0,1.0,DecisionTree,0.20681864014443,0.20366806018164715,0.209037418360147,0.21665010169078874,0.21665010169078874,0.21788997294768542,0.21434682629742133,0.20366806018164715
abalone,Sex,4177,0.451,0.3703,1.1891,0.0013,0.6649,1.0956,2.0232,1.0,0.0,nan,nan,1.0,1.0,LogisticRegression,0.22755400886817442,0.22174004715002432,0.22285246575176068,0.2252300446359186,0.2252300446359186,0.22219605555506797,0.22070319552127654,0.22174004715002432
abalone,Sex,4177,0.451,0.3703,1.1891,0.0013,0.6649,1.0956,2.0232,1.0,0.0,nan,nan,1.0,1.0,KNN,0.19302561853597713,0.19088425966282763,0.19323509030840547,0.19646404516992289,0.19646404516992289,0.19761906273271557,0.1965619797042595,0.19088425966282763
abalone,Sex,4177,0.451,0.3703,1.1891,0.0013,0.6649,1.0956,2.0232,1.0,0.0,nan,nan,1.0,1.0,RandomForest,0.22143595788250942,0.21540001015360694,0.21292209694414943,0.2281911459249325,0.22818152812234577,0.22589671602290404,0.22720307999621817,0.2181427286090568
