dataset,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean,median
pet,50,16.786109441346557,16.786109441346557,16.786109441346557,16.786109441346557,16.786109441346557,16.786109441346557,17.231629615111615,17.231629615111615,17.231629615111615,17.231629615111615,17.231629615111615,17.231629615111615,17.5239628458827,17.5239628458827,17.5239628458827,17.5239628458827,17.5239628458827,17.5239628458827,19.229065787918994,19.229065787918994,19.229065787918994,19.229065787918994,19.229065787918994,19.229065787918994,21.491786694655335,21.491786694655335,21.491786694655335,21.491786694655335,21.491786694655335,21.491786694655335,23.07482354459639,23.07482354459639,23.07482354459639,23.07482354459639,23.07482354459639,19.11284125807066,17.5239628458827
pet,60,16.75426918124382,16.75426918124382,16.75426918124382,16.75426918124382,16.75426918124382,16.75426918124382,17.164886269258226,17.164886269258226,17.164886269258226,17.164886269258226,17.164886269258226,17.164886269258226,17.528197125965693,17.528197125965693,17.528197125965693,17.528197125965693,17.528197125965693,17.528197125965693,19.26692574673215,19.26692574673215,19.26692574673215,19.26692574673215,19.26692574673215,19.26692574673215,21.55854032293078,21.55854032293078,21.55854032293078,21.55854032293078,21.55854032293078,21.55854032293078,23.10790109738905,23.10790109738905,23.10790109738905,23.10790109738905,23.10790109738905,19.119326210392256,17.528197125965693
pet,70,16.72322524208683,16.72322524208683,16.72322524208683,16.72322524208683,16.72322524208683,16.72322524208683,17.098939447412285,17.098939447412285,17.098939447412285,17.098939447412285,17.098939447412285,17.098939447412285,17.533199140506895,17.533199140506895,17.533199140506895,17.533199140506895,17.533199140506895,17.533199140506895,19.305502703310005,19.305502703310005,19.305502703310005,19.305502703310005,19.305502703310005,19.305502703310005,21.62594846562823,21.62594846562823,21.62594846562823,21.62594846562823,21.62594846562823,21.62594846562823,23.141606053024343,23.141606053024343,23.141606053024343,23.141606053024343,23.141606053024343,19.1265405788225,17.533199140506895
pet,80,16.692979096572262,16.692979096572262,16.692979096572262,16.692979096572262,16.692979096572262,16.692979096572262,17.033793104985858,17.033793104985858,17.033793104985858,17.033793104985858,17.033793104985858,17.033793104985858,17.5389678243948,17.5389678243948,17.5389678243948,17.5389678243948,17.5389678243948,17.5389678243948,19.344793250978203,19.344793250978203,19.344793250978203,19.344793250978203,19.344793250978203,19.344793250978203,21.694005722821576,21.694005722821576,21.694005722821576,21.694005722821576,21.694005722821576,21.694005722821576,23.175935434183124,23.175935434183124,23.175935434183124,23.175935434183124,23.175935434183124,19.134483176269477,17.5389678243948
pet,90,16.66353204607888,16.66353204607888,16.66353204607888,16.66353204607888,16.66353204607888,16.66353204607888,16.969451023029773,16.969451023029773,16.969451023029773,16.969451023029773,16.969451023029773,16.969451023029773,17.54550195035283,17.54550195035283,17.54550195035283,17.54550195035283,17.54550195035283,17.54550195035283,19.38479383452861,19.38479383452861,19.38479383452861,19.38479383452861,19.38479383452861,19.38479383452861,21.762706561762336,21.762706561762336,21.762706561762336,21.762706561762336,21.762706561762336,21.762706561762336,23.21088613356855,23.21088613356855,23.21088613356855,23.21088613356855,23.21088613356855,19.14315266178165,17.54550195035283
weather,50,15.27077146534904,15.27077146534904,15.27077146534904,15.27077146534904,15.27077146534904,15.27077146534904,15.884462140694616,15.884462140694616,15.884462140694616,15.884462140694616,15.884462140694616,15.884462140694616,15.894776114739889,15.894776114739889,15.894776114739889,15.894776114739889,15.894776114739889,15.894776114739889,17.544683648532498,17.544683648532498,17.544683648532498,17.544683648532498,17.544683648532498,17.544683648532498,19.798959935095358,19.798959935095358,19.798959935095358,19.798959935095358,19.798959935095358,19.798959935095358,21.616285192173347,21.616285192173347,21.616285192173347,21.616285192173347,21.616285192173347,17.555524165352434,15.894776114739889
weather,60,15.26532414197285,15.26532414197285,15.26532414197285,15.26532414197285,15.26532414197285,15.26532414197285,15.873662421579434,15.873662421579434,15.873662421579434,15.873662421579434,15.873662421579434,15.873662421579434,15.894880952845405,15.894880952845405,15.894880952845405,15.894880952845405,15.894880952845405,15.894880952845405,17.54998083230905,17.54998083230905,17.54998083230905,17.54998083230905,17.54998083230905,17.54998083230905,19.808732162285864,19.808732162285864,19.808732162285864,19.808732162285864,19.808732162285864,19.808732162285864,21.625467995610563,21.625467995610563,21.625467995610563,21.625467995610563,21.625467995610563,17.55665208697167,15.894880952845405
weather,70,15.259896267912666,15.259896267912666,15.259896267912666,15.259896267912666,15.259896267912666,15.259896267912666,15.862881847684815,15.862881847684815,15.862881847684815,15.862881847684815,15.862881847684815,15.862881847684815,15.895004851178241,15.895004851178241,15.895004851178241,15.895004851178241,15.895004851178241,15.895004851178241,17.555296116474015,17.555296116474015,17.555296116474015,17.555296116474015,17.555296116474015,17.555296116474015,19.818521197463397,19.818521197463397,19.818521197463397,19.818521197463397,19.818521197463397,19.818521197463397,21.63466659563666,21.63466659563666,21.63466659563666,21.63466659563666,21.63466659563666,17.5577981332132,15.895004851178241
weather,80,15.25448785184552,15.25448785184552,15.25448785184552,15.25448785184552,15.25448785184552,15.25448785184552,15.85212043666947,15.85212043666947,15.85212043666947,15.85212043666947,15.85212043666947,15.85212043666947,15.89514780911519,15.89514780911519,15.89514780911519,15.89514780911519,15.89514780911519,15.89514780911519,17.560629491720675,17.560629491720675,17.560629491720675,17.560629491720675,17.560629491720675,17.560629491720675,19.8283270238481,19.8283270238481,19.8283270238481,19.8283270238481,19.8283270238481,19.8283270238481,21.643880976483885,21.643880976483885,21.643880976483885,21.643880976483885,21.643880976483885,17.558962301760367,15.89514780911519
weather,90,15.249098902350463,15.249098902350463,15.249098902350463,15.249098902350463,15.249098902350463,15.249098902350463,15.841378206095255,15.841378206095255,15.841378206095255,15.841378206095255,15.841378206095255,15.841378206095255,15.895309825937154,15.895309825937154,15.895309825937154,15.895309825937154,15.895309825937154,15.895309825937154,17.56598094865145,17.56598094865145,17.56598094865145,17.56598094865145,17.56598094865145,17.56598094865145,19.838149624576165,19.838149624576165,19.838149624576165,19.838149624576165,19.838149624576165,19.838149624576165,21.653111122305486,21.653111122305486,21.653111122305486,21.653111122305486,21.653111122305486,17.560144590205432,15.895309825937154
