name,column,percentage_outliers,std_outliers,technique_accuracy,f1_technique
acustic,_HarmonicChangeDetectionFunction_Std,40,1,STD,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,1,STD,0.0
acustic,_Zero-crossingrate_Mean,40,1,STD,0.0
acustic,_Fluctuation_Mean,40,1,STD,0.0
acustic,_HarmonicChangeDetectionFunction_Std,50,1,STD,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,1,STD,0.0
acustic,_Zero-crossingrate_Mean,50,1,STD,0.0
acustic,_Fluctuation_Mean,50,1,STD,0.0
acustic,_HarmonicChangeDetectionFunction_Std,10,1,ZSB,0.9421337632661236
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,1,ZSB,0.8003306697417978
acustic,_Zero-crossingrate_Mean,10,1,ZSB,0.7510381508357433
acustic,_Fluctuation_Mean,10,1,ZSB,0.7740660251407697
acustic,_HarmonicChangeDetectionFunction_Std,20,1,ZSB,0.9807101946131406
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,1,ZSB,0.8557688595150854
acustic,_Zero-crossingrate_Mean,20,1,ZSB,0.8585779094065897
acustic,_Fluctuation_Mean,20,1,ZSB,0.9331098171769672
acustic,_HarmonicChangeDetectionFunction_Std,30,1,ZSB,0.9527016224349988
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,1,ZSB,0.8426123616200907
acustic,_Zero-crossingrate_Mean,30,1,ZSB,0.8314798191213559
acustic,_Fluctuation_Mean,30,1,ZSB,0.9181731052909412
acustic,_HarmonicChangeDetectionFunction_Std,40,1,ZSB,0.7418632180034243
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,1,ZSB,0.6212599689721383
acustic,_Zero-crossingrate_Mean,40,1,ZSB,0.7181668720055768
acustic,_Fluctuation_Mean,40,1,ZSB,0.848806205492709
acustic,_HarmonicChangeDetectionFunction_Std,50,1,ZSB,0.113331014945122
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,1,ZSB,0.1697101723842015
acustic,_Zero-crossingrate_Mean,50,1,ZSB,0.5138759142413235
acustic,_Fluctuation_Mean,50,1,ZSB,0.6806419696755756
acustic,_HarmonicChangeDetectionFunction_Std,10,1,KNN,0.2236377499918759
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,1,KNN,0.2032184155343259
acustic,_Zero-crossingrate_Mean,10,1,KNN,0.1884268953465291
acustic,_Fluctuation_Mean,10,1,KNN,0.1697491566991003
