dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
drug_22,KNN,0.5,['impute_standard' 'impute_random' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_mice' 'impute_random_forest' 'impute_logistic_regression'],['impute_random' 'impute_standard' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest'],[ 0.         -0.12191156 -0.12963911 -0.12963911 -0.13554319 -0.14227369 -0.15471617 -0.17575438],[ 0.00732969  0.         -0.00072826 -0.00083686 -0.00464426 -0.00466343 -0.00592366 -0.00630251],0.3893749999999999
drug_22,RandomForest,0.125,['impute_mode' 'impute_kproto' 'impute_random' 'impute_knn' 'impute_mice' 'impute_standard' 'impute_random_forest' 'impute_logistic_regression'],['impute_random' 'impute_standard' 'impute_kproto' 'impute_mode' 'impute_mice' 'impute_knn' 'impute_logistic_regression' 'impute_random_forest'],[ 0.00588812  0.00486827  0.00443353  0.00397603  0.00072247  0. -0.00808435 -0.00973721],[ 0.00453272  0.         -0.0004016  -0.00062519 -0.00222483 -0.00273987 -0.00358292 -0.00394769],0.3893749999999999
drug_22,AdaBoost,0.0,['impute_standard' 'impute_mode' 'impute_random' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_kproto'],['impute_random' 'impute_logistic_regression' 'impute_random_forest' 'impute_standard' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_mice'],[0. 0. 0. 0. 0. 0. 0. 0.],[ 7.82339683e-03  1.60178709e-03  5.94194213e-05  0.00000000e+00 -1.36717829e-04 -2.14907617e-04 -5.31634326e-03 -5.56160166e-03],0.3893749999999999
drug_22,SVC,0.25,['impute_standard' 'impute_random' 'impute_knn' 'impute_mice' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_random_forest'],['impute_random' 'impute_random_forest' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_standard'],[ 0.         -0.01033248 -0.01751783 -0.0178017  -0.01813055 -0.01813055 -0.02529762 -0.03214868],[0.03199812 0.02677158 0.02601125 0.02535852 0.02025101 0.00767349 0.00761344 0.        ],0.3893749999999999
drug_23,DecisionTree,0.125,['impute_knn' 'impute_logistic_regression' 'impute_mice' 'impute_random_forest' 'impute_random' 'impute_kproto' 'impute_mode' 'impute_standard'],['impute_random' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_mice' 'impute_random_forest' 'impute_logistic_regression' 'impute_standard'],[0.02037112 0.02020443 0.02018712 0.01534534 0.01388112 0.01037256 0.00980891 0.        ],[0.01097673 0.00502444 0.00502022 0.00263267 0.00239283 0.0013761 0.00121    0.        ],0.3349999999999999
drug_23,LogisticRegression,0.125,['impute_standard' 'impute_logistic_regression' 'impute_knn' 'impute_mice' 'impute_mode' 'impute_kproto' 'impute_random_forest' 'impute_random'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_knn' 'impute_mice' 'impute_random_forest' 'impute_standard'],[ 0.         -0.00685297 -0.00791608 -0.00830377 -0.01449986 -0.01449986 -0.01584451 -0.02801862],[0.01344037 0.00452544 0.00440833 0.00354639 0.00144211 0.00139022 0.00033813 0.        ],0.3349999999999999
drug_23,KNN,0.125,['impute_standard' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_mice' 'impute_random_forest' 'impute_logistic_regression' 'impute_random'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_standard' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest'],[ 0.         -0.11645538 -0.11645538 -0.1419604  -0.14359308 -0.15541828 -0.16375234 -0.18460213],[ 0.01007376  0.00281324  0.00266773  0.         -0.00129103 -0.00167004 -0.00287091 -0.00298334],0.3349999999999999
drug_23,RandomForest,0.125,['impute_kproto' 'impute_mode' 'impute_mice' 'impute_logistic_regression' 'impute_knn' 'impute_random' 'impute_random_forest' 'impute_standard'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_mice' 'impute_knn' 'impute_standard' 'impute_logistic_regression' 'impute_random_forest'],[0.01583576 0.01169313 0.01115772 0.01006422 0.00952041 0.00074036 0.00061702 0.        ],[ 0.00865192  0.00318051  0.00317666  0.00102819  0.00063249  0. -0.00077358 -0.00120452],0.3349999999999999
drug_23,AdaBoost,0.25,['impute_standard' 'impute_mode' 'impute_random' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_kproto'],['impute_random_forest' 'impute_logistic_regression' 'impute_random' 'impute_knn' 'impute_kproto' 'impute_mice' 'impute_mode' 'impute_standard'],[0. 0. 0. 0. 0. 0. 0. 0.],[0.01399123 0.01362222 0.01266472 0.00666361 0.00629657 0.00482884 0.00064032 0.        ],0.3349999999999999
drug_23,SVC,0.125,['impute_standard' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_random'],['impute_random' 'impute_standard' 'impute_mode' 'impute_logistic_regression' 'impute_kproto' 'impute_random_forest' 'impute_mice' 'impute_knn'],[ 0.         -0.00497275 -0.01872832 -0.01872832 -0.01879915 -0.0222882 -0.02242632 -0.02945289],[ 0.02455752  0.         -0.00204707 -0.01320048 -0.0138575  -0.02993095 -0.03225177 -0.03967634],0.3349999999999999
