name,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Temperature,50,0.1366385173280108,0.1366385173280108,0.1366385173280108,0.1366385173280108,0.1366385173280108,0.1366385173280108,0.137266111335566,0.137266111335566,0.137266111335566,0.137266111335566,0.137266111335566,0.137266111335566,0.14810667541069278,0.14810667541069278,0.14810667541069278,0.14810667541069278,0.14810667541069278,0.14810667541069278,0.14911992054901213,0.14911992054901213,0.14911992054901213,0.14911992054901213,0.14911992054901213,0.14911992054901213,0.14929087174435574,0.14929087174435574,0.14929087174435574,0.14929087174435574,0.14929087174435574,0.14929087174435574,0.1495557373133376,0.1495557373133376,0.1495557373133376,0.1495557373133376,0.1495557373133376
Precipitation,50,0.14533246770618058,0.14533246770618058,0.14533246770618058,0.14533246770618058,0.14533246770618058,0.14533246770618058,0.14595637302755593,0.14595637302755593,0.14595637302755593,0.14595637302755593,0.14595637302755593,0.14595637302755593,0.15668249540410062,0.15668249540410062,0.15668249540410062,0.15668249540410062,0.15668249540410062,0.15668249540410062,0.15768796247564454,0.15768796247564454,0.15768796247564454,0.15768796247564454,0.15768796247564454,0.15768796247564454,0.15785979092100677,0.15785979092100677,0.15785979092100677,0.15785979092100677,0.15785979092100677,0.15785979092100677,0.15812480529539819,0.15812480529539819,0.15812480529539819,0.15812480529539819,0.15812480529539819
AtmosphericPressure,50,0.16773806345812103,0.16773806345812103,0.16773806345812103,0.16773806345812103,0.16773806345812103,0.16773806345812103,0.168350441890173,0.168350441890173,0.168350441890173,0.168350441890173,0.168350441890173,0.168350441890173,0.1787856773401134,0.1787856773401134,0.1787856773401134,0.1787856773401134,0.1787856773401134,0.1787856773401134,0.17976659399619466,0.17976659399619466,0.17976659399619466,0.17976659399619466,0.17976659399619466,0.17976659399619466,0.17993877086185694,0.17993877086185694,0.17993877086185694,0.17993877086185694,0.17993877086185694,0.17993877086185694,0.1802045606600421,0.1802045606600421,0.1802045606600421,0.1802045606600421,0.1802045606600421
Temperature,60,0.13643279311308842,0.13643279311308842,0.13643279311308842,0.13643279311308842,0.13643279311308842,0.13643279311308842,0.13714907470325455,0.13714907470325455,0.13714907470325455,0.13714907470325455,0.13714907470325455,0.13714907470325455,0.14781456718838637,0.14781456718838637,0.14781456718838637,0.14781456718838637,0.14781456718838637,0.14781456718838637,0.14891801912547264,0.14891801912547264,0.14891801912547264,0.14891801912547264,0.14891801912547264,0.14891801912547264,0.14917639735296895,0.14917639735296895,0.14917639735296895,0.14917639735296895,0.14917639735296895,0.14917639735296895,0.1495277871679359,0.1495277871679359,0.1495277871679359,0.1495277871679359,0.1495277871679359
Precipitation,60,0.14498510132444176,0.14498510132444176,0.14498510132444176,0.14498510132444176,0.14498510132444176,0.14498510132444176,0.14569739767275658,0.14569739767275658,0.14569739767275658,0.14569739767275658,0.14569739767275658,0.14569739767275658,0.156251028678544,0.156251028678544,0.156251028678544,0.156251028678544,0.156251028678544,0.156251028678544,0.15734623150578064,0.15734623150578064,0.15734623150578064,0.15734623150578064,0.15734623150578064,0.15734623150578064,0.15760512441219943,0.15760512441219943,0.15760512441219943,0.15760512441219943,0.15760512441219943,0.15760512441219943,0.1579565428661467,0.1579565428661467,0.1579565428661467,0.1579565428661467,0.1579565428661467
AtmosphericPressure,60,0.16723757207690337,0.16723757207690337,0.16723757207690337,0.16723757207690337,0.16723757207690337,0.16723757207690337,0.16793706929649432,0.16793706929649432,0.16793706929649432,0.16793706929649432,0.16793706929649432,0.16793706929649432,0.1782045117815625,0.1782045117815625,0.1782045117815625,0.1782045117815625,0.1782045117815625,0.1782045117815625,0.17927384004553237,0.17927384004553237,0.17927384004553237,0.17927384004553237,0.17927384004553237,0.17927384004553237,0.17953175152704726,0.17953175152704726,0.17953175152704726,0.17953175152704726,0.17953175152704726,0.17953175152704726,0.17988273656806697,0.17988273656806697,0.17988273656806697,0.17988273656806697,0.17988273656806697
Temperature,70,0.13624117238956523,0.13624117238956523,0.13624117238956523,0.13624117238956523,0.13624117238956523,0.13624117238956523,0.13704614057985898,0.13704614057985898,0.13704614057985898,0.13704614057985898,0.13704614057985898,0.13704614057985898,0.1475363678736572,0.1475363678736572,0.1475363678736572,0.1475363678736572,0.1475363678736572,0.1475363678736572,0.14872991534759783,0.14872991534759783,0.14872991534759783,0.14872991534759783,0.14872991534759783,0.14872991534759783,0.14907573177753985,0.14907573177753985,0.14907573177753985,0.14907573177753985,0.14907573177753985,0.14907573177753985,0.14951375234511166,0.14951375234511166,0.14951375234511166,0.14951375234511166,0.14951375234511166
Precipitation,70,0.1447087736359043,0.1447087736359043,0.1447087736359043,0.1447087736359043,0.1447087736359043,0.1447087736359043,0.14550943882088418,0.14550943882088418,0.14550943882088418,0.14550943882088418,0.14550943882088418,0.14550943882088418,0.15588963084687169,0.15588963084687169,0.15588963084687169,0.15588963084687169,0.15588963084687169,0.15588963084687169,0.1570748486777298,0.1570748486777298,0.1570748486777298,0.1570748486777298,0.1570748486777298,0.1570748486777298,0.1574208144485646,0.1574208144485646,0.1574208144485646,0.1574208144485646,0.1574208144485646,0.1574208144485646,0.1578583201800351,0.1578583201800351,0.1578583201800351,0.1578583201800351,0.1578583201800351
AtmosphericPressure,70,0.16685283438162546,0.16685283438162546,0.16685283438162546,0.16685283438162546,0.16685283438162546,0.16685283438162546,0.16763941904411095,0.16763941904411095,0.16763941904411095,0.16763941904411095,0.16763941904411095,0.16763941904411095,0.1777375107077772,0.1777375107077772,0.1777375107077772,0.1777375107077772,0.1777375107077772,0.1777375107077772,0.17889546991142624,0.17889546991142624,0.17889546991142624,0.17889546991142624,0.17889546991142624,0.17889546991142624,0.17923913797032154,0.17923913797032154,0.17923913797032154,0.17923913797032154,0.17923913797032154,0.17923913797032154,0.1796750405674532,0.1796750405674532,0.1796750405674532,0.1796750405674532,0.1796750405674532
Temperature,80,0.13607193640258464,0.13607193640258464,0.13607193640258464,0.13607193640258464,0.13607193640258464,0.13607193640258464,0.1369655854288524,0.1369655854288524,0.1369655854288524,0.1369655854288524,0.1369655854288524,0.1369655854288524,0.14728024379511173,0.14728024379511173,0.14728024379511173,0.14728024379511173,0.14728024379511173,0.14728024379511173,0.14856405459691635,0.14856405459691635,0.14856405459691635,0.14856405459691635,0.14856405459691635,0.14856405459691635,0.1489973098707369,0.1489973098707369,0.1489973098707369,0.1489973098707369,0.1489973098707369,0.1489973098707369,0.1495217846132213,0.1495217846132213,0.1495217846132213,0.1495217846132213,0.1495217846132213
