name,perc0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Strength,50,0.13454391159857926,0.13454391159857926,0.13454391159857926,0.13454391159857926,0.13454391159857926,0.13454391159857926,0.13721771766268276,0.13721771766268276,0.13721771766268276,0.13721771766268276,0.13721771766268276,0.13721771766268276,0.14398168833837677,0.14398168833837677,0.14398168833837677,0.14398168833837677,0.14398168833837677,0.14398168833837677,0.14707024912036049,0.14707024912036049,0.14707024912036049,0.14707024912036049,0.14707024912036049,0.14707024912036049,0.14925986966454285,0.14925986966454285,0.14925986966454285,0.14925986966454285,0.14925986966454285,0.14925986966454285,0.1515267806720748,0.1515267806720748,0.1515267806720748,0.1515267806720748,0.1515267806720748
Intelligence,50,0.13437818377414779,0.13437818377414779,0.13437818377414779,0.13437818377414779,0.13437818377414779,0.13437818377414779,0.1370521565562398,0.1370521565562398,0.1370521565562398,0.1370521565562398,0.1370521565562398,0.1370521565562398,0.14381812702209618,0.14381812702209618,0.14381812702209618,0.14381812702209618,0.14381812702209618,0.14381812702209618,0.14690745654415682,0.14690745654415682,0.14690745654415682,0.14690745654415682,0.14690745654415682,0.14690745654415682,0.14909712628865257,0.14909712628865257,0.14909712628865257,0.14909712628865257,0.14909712628865257,0.14909712628865257,0.1513636244313531,0.1513636244313531,0.1513636244313531,0.1513636244313531,0.1513636244313531
Strength,60,0.13426230300102981,0.13426230300102981,0.13426230300102981,0.13426230300102981,0.13426230300102981,0.13426230300102981,0.13743370251573328,0.13743370251573328,0.13743370251573328,0.13743370251573328,0.13743370251573328,0.13743370251573328,0.1432031866360316,0.1432031866360316,0.1432031866360316,0.1432031866360316,0.1432031866360316,0.1432031866360316,0.14679784076084978,0.14679784076084978,0.14679784076084978,0.14679784076084978,0.14679784076084978,0.14679784076084978,0.14947841080188962,0.14947841080188962,0.14947841080188962,0.14947841080188962,0.14947841080188962,0.14947841080188962,0.1522307870507824,0.1522307870507824,0.1522307870507824,0.1522307870507824,0.1522307870507824
Intelligence,60,0.13412591190649803,0.13412591190649803,0.13412591190649803,0.13412591190649803,0.13412591190649803,0.13412591190649803,0.13729746724784164,0.13729746724784164,0.13729746724784164,0.13729746724784164,0.13729746724784164,0.13729746724784164,0.1430685159670222,0.1430685159670222,0.1430685159670222,0.1430685159670222,0.1430685159670222,0.1430685159670222,0.14666142459638476,0.14666142459638476,0.14666142459638476,0.14666142459638476,0.14666142459638476,0.14666142459638476,0.149342131407053,0.149342131407053,0.149342131407053,0.149342131407053,0.149342131407053,0.149342131407053,0.1520965095943213,0.1520965095943213,0.1520965095943213,0.1520965095943213,0.1520965095943213
Strength,70,0.13404548571511854,0.13404548571511854,0.13404548571511854,0.13404548571511854,0.13404548571511854,0.13404548571511854,0.13771435713942093,0.13771435713942093,0.13771435713942093,0.13771435713942093,0.13771435713942093,0.13771435713942093,0.1424886593010526,0.1424886593010526,0.1424886593010526,0.1424886593010526,0.1424886593010526,0.1424886593010526,0.14658786061959517,0.14658786061959517,0.14658786061959517,0.14658786061959517,0.14658786061959517,0.14658786061959517,0.14975938449889092,0.14975938449889092,0.14975938449889092,0.14975938449889092,0.14975938449889092,0.14975938449889092,0.15299846655004146,0.15299846655004146,0.15299846655004146,0.15299846655004146,0.15299846655004146
Intelligence,70,0.13394788160480586,0.13394788160480586,0.13394788160480586,0.13394788160480586,0.13394788160480586,0.13394788160480586,0.13761692506150924,0.13761692506150924,0.13761692506150924,0.13761692506150924,0.13761692506150924,0.13761692506150924,0.14239222787167305,0.14239222787167305,0.14239222787167305,0.14239222787167305,0.14239222787167305,0.14239222787167305,0.1464865495136446,0.1464865495136446,0.1464865495136446,0.1464865495136446,0.1464865495136446,0.1464865495136446,0.14965828224073818,0.14965828224073818,0.14965828224073818,0.14965828224073818,0.14965828224073818,0.14965828224073818,0.15290247687139746,0.15290247687139746,0.15290247687139746,0.15290247687139746,0.15290247687139746
Strength,80,0.1339232852715132,0.1339232852715132,0.1339232852715132,0.1339232852715132,0.1339232852715132,0.1339232852715132,0.13808939977103107,0.13808939977103107,0.13808939977103107,0.13808939977103107,0.13808939977103107,0.13808939977103107,0.14186767101119913,0.14186767101119913,0.14186767101119913,0.14186767101119913,0.14186767101119913,0.14186767101119913,0.1464743415508567,0.1464743415508567,0.1464743415508567,0.1464743415508567,0.1464743415508567,0.1464743415508567,0.1501365133593805,0.1501365133593805,0.1501365133593805,0.1501365133593805,0.1501365133593805,0.1501365133593805,0.15323812826648786,0.15323812826648786,0.15323812826648786,0.15323812826648786,0.15323812826648786
Intelligence,80,0.1338817671180197,0.1338817671180197,0.1338817671180197,0.1338817671180197,0.1338817671180197,0.1338817671180197,0.13804797447665706,0.13804797447665706,0.13804797447665706,0.13804797447665706,0.13804797447665706,0.13804797447665706,0.14182661974760924,0.14182661974760924,0.14182661974760924,0.14182661974760924,0.14182661974760924,0.14182661974760924,0.14642939233884267,0.14642939233884267,0.14642939233884267,0.14642939233884267,0.14642939233884267,0.14642939233884267,0.150091746110096,0.150091746110096,0.150091746110096,0.150091746110096,0.150091746110096,0.150091746110096,0.15319378463000677,0.15319378463000677,0.15319378463000677,0.15319378463000677,0.15319378463000677
Strength,90,0.13407124919899516,0.13407124919899516,0.13407124919899516,0.13407124919899516,0.13407124919899516,0.13407124919899516,0.1387341460616628,0.1387341460616628,0.1387341460616628,0.1387341460616628,0.1387341460616628,0.1387341460616628,0.14151353345419515,0.14151353345419515,0.14151353345419515,0.14151353345419515,0.14151353345419515,0.14151353345419515,0.14662407017033752,0.14662407017033752,0.14662407017033752,0.14662407017033752,0.14662407017033752,0.14662407017033752,0.15077670204380578,0.15077670204380578,0.15077670204380578,0.15077670204380578,0.15077670204380578,0.15077670204380578,0.15288177175382023,0.15288177175382023,0.15288177175382023,0.15288177175382023,0.15288177175382023
Intelligence,90,0.13404066461326447,0.13404066461326447,0.13404066461326447,0.13404066461326447,0.13404066461326447,0.13404066461326447,0.13870366102377596,0.13870366102377596,0.13870366102377596,0.13870366102377596,0.13870366102377596,0.13870366102377596,0.14148324401528323,0.14148324401528323,0.14148324401528323,0.14148324401528323,0.14148324401528323,0.14148324401528323,0.14659200121100768,0.14659200121100768,0.14659200121100768,0.14659200121100768,0.14659200121100768,0.14659200121100768,0.1507447488709991,0.1507447488709991,0.1507447488709991,0.1507447488709991,0.1507447488709991,0.1507447488709991,0.1528500994375157,0.1528500994375157,0.1528500994375157,0.1528500994375157,0.1528500994375157
