dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred
drug_3,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.4454101 0.6941881],[0.47083382 0.86787036]
drug_4,DecisionTree,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.88721527 0.8916018 ],[0.92592698 0.93249169]
drug_4,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.71405438 0.90130839],[0.73479997 0.92466912]
drug_4,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.80965959 0.82539117],[0.83464162 0.96126806]
drug_4,RandomForest,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.89372633 0.90436784],[0.93223892 0.93720872]
drug_4,AdaBoost,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.166659   0.58584289],[0.97417011 0.98311633]
drug_4,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.56091499 0.90903768],[0.66651972 0.86787036]
electricity-normalized_0,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.82088466 0.84270442],[0.79115135 0.90240332]
electricity-normalized_0,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.61436183 0.89396844],[0.64140951 0.92229812]
electricity-normalized_0,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.65367964 0.81358274],[0.67165259 0.90369611]
electricity-normalized_0,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.77836036 0.80160752],[0.84622568 0.92101687]
electricity-normalized_0,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.85016565 0.85527953],[0.85298885 0.85761909]
electricity-normalized_0,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.83726169 0.92313112],[0.58965658 0.88841145]
electricity-normalized_1,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.86249978 0.87333544],[0.80463231 0.91783758]
electricity-normalized_1,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.62467458 0.91713121],[0.63801507 0.91771394]
electricity-normalized_1,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.66276117 0.83740046],[0.68359923 0.95604959]
electricity-normalized_1,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.81768997 0.8363581 ],[0.85377613 0.93238965]
electricity-normalized_1,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.87687287 0.87910926],[0.88061638 0.94202753]
electricity-normalized_1,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.85452177 0.97367303],[0.578067   0.85666186]
electricity-normalized_2,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.8875809  0.88847016],[0.83440788 0.88981266]
electricity-normalized_2,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.65426525 0.94176161],[0.64339084 0.8790216 ]
electricity-normalized_2,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.69744149 0.87279321],[0.73576931 0.93203049]
electricity-normalized_2,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.84663467 0.86905707],[0.881916   0.91002266]
electricity-normalized_2,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.90329533 0.90697888],[0.90517193 0.96061582]
electricity-normalized_2,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.83904756 0.94475488],[0.59234527 0.77832262]
