dataset,model,dimension,real,pred
BachChoralHarmony_2,KNN,accuracy,0.41772018958697826,0.7073647721947498
BachChoralHarmony_3,KNN,accuracy,0.4382312062387174,0.7872981399388218
BachChoralHarmony_4,KNN,accuracy,0.5434052670967308,0.8692666907562101
BachChoralHarmony_0,RandomForest,completeness,0.5893368157698319,0.9214685786168221
BachChoralHarmony_1,RandomForest,completeness,0.6478194763182822,0.9125420294926918
BachChoralHarmony_2,RandomForest,completeness,0.7393194136666631,0.8968929775878408
BachChoralHarmony_3,RandomForest,completeness,0.7952360445712856,0.9384047326754033
BachChoralHarmony_4,RandomForest,completeness,0.8942660763242819,0.9153129712612431
BachChoralHarmony_0,RandomForest,accuracy,0.5499653866504859,0.7759651177442277
BachChoralHarmony_1,RandomForest,accuracy,0.6235577809871102,0.8848369028144172
BachChoralHarmony_2,RandomForest,accuracy,0.7025672043428659,0.9022609813393496
BachChoralHarmony_3,RandomForest,accuracy,0.7835892731371722,0.9145104092716823
BachChoralHarmony_4,RandomForest,accuracy,0.8451174685851038,0.9372806391106927
BachChoralHarmony_0,AdaBoost,completeness,0.7065017737956221,0.921284059816951
BachChoralHarmony_1,AdaBoost,completeness,0.798489694457685,0.941604023568001
BachChoralHarmony_2,AdaBoost,completeness,0.6272976474502854,0.9521873057242788
BachChoralHarmony_3,AdaBoost,completeness,0.7230426370620159,0.947036965139797
BachChoralHarmony_4,AdaBoost,completeness,0.8417930663696195,0.9650419128501565
BachChoralHarmony_0,AdaBoost,accuracy,0.5540157176449423,0.819258270125773
BachChoralHarmony_1,AdaBoost,accuracy,0.6992059609784996,0.8467600414664934
BachChoralHarmony_2,AdaBoost,accuracy,0.7335292261911959,0.8547450169887424
BachChoralHarmony_3,AdaBoost,accuracy,0.7070612231020784,0.9469721733045111
BachChoralHarmony_4,AdaBoost,accuracy,0.7673485940018844,0.9990447954362506
BachChoralHarmony_0,SVC,completeness,0.58549450727767,0.8114569932794221
BachChoralHarmony_1,SVC,completeness,0.6704011172404902,0.7582823078793034
BachChoralHarmony_2,SVC,completeness,0.774087506012516,0.7535578759359698
BachChoralHarmony_3,SVC,completeness,0.8310294582536075,0.8686073943854847
BachChoralHarmony_4,SVC,completeness,0.9070623403446177,0.7830287075878689
BachChoralHarmony_0,SVC,accuracy,0.6031303357805722,0.4718023836256067
BachChoralHarmony_1,SVC,accuracy,0.5999824129681745,0.5011151935367905
BachChoralHarmony_2,SVC,accuracy,0.639313376417678,0.4669366742877963
BachChoralHarmony_3,SVC,accuracy,0.6980678125032196,0.5990947240048061
BachChoralHarmony_4,SVC,accuracy,0.7682923624283182,0.6764166078879178
bank_0,DecisionTree,completeness,0.9685709542604767,0.787209828898499
bank_1,DecisionTree,completeness,0.9882182263536883,0.9016175746069012
bank_2,DecisionTree,completeness,0.9880430734790362,0.9168427768871863
bank_3,DecisionTree,completeness,0.9931422698356805,0.928360747166267
bank_4,DecisionTree,completeness,0.9937118788207039,0.9309975865110897
bank_0,DecisionTree,accuracy,0.9736783414620646,0.7721478600598787
bank_1,DecisionTree,accuracy,0.9759438866464742,0.8015361159951189
bank_2,DecisionTree,accuracy,0.9904452724535735,0.839670398124798
bank_3,DecisionTree,accuracy,1.0018353459646867,0.8637301571922288
bank_4,DecisionTree,accuracy,0.9924130892365941,0.9405052094066032
bank_0,LogisticRegression,completeness,0.9615759647024298,0.8029693386328445
bank_1,LogisticRegression,completeness,0.9556661851827289,0.8913632208683042
bank_2,LogisticRegression,completeness,0.9673180526755828,0.9284019683457412
bank_3,LogisticRegression,completeness,0.9588254339640498,0.9258397593550673
bank_4,LogisticRegression,completeness,0.9816972068283492,0.9257787651968574
bank_0,LogisticRegression,accuracy,0.9163852899117508,0.6120418401490121
bank_1,LogisticRegression,accuracy,0.9066298193217227,0.6037986182265973
bank_2,LogisticRegression,accuracy,0.9202759328819641,0.5904361095512171
bank_3,LogisticRegression,accuracy,0.9313977173158309,0.6296345424222255
bank_4,LogisticRegression,accuracy,0.9305868062772978,0.7521199045143174
bank_0,KNN,completeness,0.9956106923359412,0.8042096396227354
bank_1,KNN,completeness,0.992406042339111,0.9123018545268688
bank_2,KNN,completeness,0.9834137557052672,0.926120741516021
bank_3,KNN,completeness,0.9802009299024435,0.9645437169726954
bank_4,KNN,completeness,0.9962656577202876,0.9490854156025944
bank_0,KNN,accuracy,0.9552858776436969,0.6210663190659501
bank_1,KNN,accuracy,0.9508496811210544,0.6613231678359744
bank_2,KNN,accuracy,0.9412788701731345,0.7017804742870101
bank_3,KNN,accuracy,0.9362162143705581,0.7413594328962771
bank_4,KNN,accuracy,0.9628794694448303,0.8426286456325845
bank_0,RandomForest,completeness,0.9685537406891273,0.8181007535573338
bank_1,RandomForest,completeness,0.9718635497923307,0.9340979860596129
bank_2,RandomForest,completeness,0.9727990539989088,0.9380187121320607
bank_3,RandomForest,completeness,0.9626080128578524,0.9391653248600542
bank_4,RandomForest,completeness,0.9978890378375856,0.9353497401416823
bank_0,RandomForest,accuracy,0.9485175481722599,0.8322349462077893
bank_1,RandomForest,accuracy,0.9538793840880478,0.8528458985308435
bank_2,RandomForest,accuracy,0.941971797724992,0.8956906784632875
bank_3,RandomForest,accuracy,0.9590466607202226,0.9097705353378717
bank_4,RandomForest,accuracy,0.9603878587902078,0.9469891521138074
bank_0,AdaBoost,completeness,0.9709481365691836,0.9482185323862986
bank_1,AdaBoost,completeness,0.966991411035503,0.8781244112095475
bank_2,AdaBoost,completeness,0.979049594209884,0.8773120133676409
bank_3,AdaBoost,completeness,0.9797722387279183,0.9763648064857756
bank_4,AdaBoost,completeness,0.993308804491597,0.9644202269606093
bank_0,AdaBoost,accuracy,0.9620816857397693,0.8009504812646318
bank_1,AdaBoost,accuracy,0.9769646728383463,0.859285176723194
bank_2,AdaBoost,accuracy,0.973811776000772,0.8340548211972267
bank_3,AdaBoost,accuracy,0.9933877886072546,0.9051524602164207
bank_4,AdaBoost,accuracy,0.9976924865806491,0.9835908703441285
bank_0,SVC,completeness,0.9108703062776428,0.7326418301348916
bank_1,SVC,completeness,0.9124804941787462,0.7788648777056143
bank_2,SVC,completeness,0.9327888724044398,0.8619175194769898
bank_3,SVC,completeness,0.9543114655450952,0.8733145173120775
bank_4,SVC,completeness,0.9381030920293566,0.8589514288017437
bank_0,SVC,accuracy,0.9539613527519187,0.5355065806676538
bank_1,SVC,accuracy,0.9286013893284829,0.5352351122355248
bank_2,SVC,accuracy,0.9733028159112624,0.4882962328614658
bank_3,SVC,accuracy,0.9132051682824949,0.544385452734484
bank_4,SVC,accuracy,0.6835633013377311,0.6843274953035634
cancer_0,DecisionTree,completeness,0.9759971673912657,0.8815012392457591
cancer_1,DecisionTree,completeness,0.987063022093492,0.9001660504172017
cancer_2,DecisionTree,completeness,0.9885660127239716,0.892554478520271
cancer_3,DecisionTree,completeness,0.9934050421123741,0.9117359448170024
cancer_4,DecisionTree,completeness,1.0031957343433886,0.894271955402017
cancer_0,DecisionTree,accuracy,0.8791713923669437,0.8212480252802757
cancer_1,DecisionTree,accuracy,0.8995518386238808,0.8114633321349217
cancer_2,DecisionTree,accuracy,0.9387686224994122,0.8473951688754154
cancer_3,DecisionTree,accuracy,0.9667741085252717,0.8680320771196748
cancer_4,DecisionTree,accuracy,0.986412691467839,0.8744971890347868
cancer_0,LogisticRegression,completeness,0.9848475042051879,0.8884343337502096
cancer_1,LogisticRegression,completeness,0.9775088371046889,0.899727083899006
cancer_2,LogisticRegression,completeness,1.005409780022801,0.8797752536278154
cancer_3,LogisticRegression,completeness,1.012296693210822,0.9050324211694879
cancer_4,LogisticRegression,completeness,0.987898880528443,0.8837439761669724
cancer_0,LogisticRegression,accuracy,0.7279272637272342,0.7018835847403012
cancer_1,LogisticRegression,accuracy,0.7793831222473315,0.6681037114158689
cancer_2,LogisticRegression,accuracy,0.8372018082662999,0.6134007290743833
cancer_3,LogisticRegression,accuracy,0.8875179457650022,0.5613985912532663
cancer_4,LogisticRegression,accuracy,0.9600734687711102,0.551871256318134
cancer_0,KNN,completeness,0.9848031982423514,0.9197751863341591
cancer_1,KNN,completeness,0.9651962620181911,0.9360124429146083
cancer_2,KNN,completeness,0.9946441424033365,0.9348505201895405
cancer_3,KNN,completeness,0.9945620735842345,0.9508327706765071
cancer_4,KNN,completeness,1.0100067380414501,0.9255991698074103
cancer_0,KNN,accuracy,0.7967044137639834,0.7141580094964219
cancer_1,KNN,accuracy,0.807639114926137,0.7044728502447244
cancer_2,KNN,accuracy,0.884243944696712,0.7159651211992228
cancer_3,KNN,accuracy,0.9485642755719191,0.7246896355556005
cancer_4,KNN,accuracy,0.9909720838109316,0.738961440770894
cancer_0,RandomForest,completeness,0.9801363198626123,0.9069689468466976
cancer_1,RandomForest,completeness,0.9867178189001489,0.923247782411874
cancer_2,RandomForest,completeness,0.9950278953277772,0.9112002399408554
cancer_3,RandomForest,completeness,1.0000812533974603,0.9260078297125334
cancer_4,RandomForest,completeness,0.9797542903698456,0.9153129712612431
cancer_0,RandomForest,accuracy,0.9191280854285839,0.8723913015600655
cancer_1,RandomForest,accuracy,0.9710082123864858,0.8651614856892872
cancer_2,RandomForest,accuracy,0.9659849960400368,0.8902482361024038
cancer_3,RandomForest,accuracy,0.9884034254780046,0.9054073929386117
cancer_4,RandomForest,accuracy,0.9781606481339823,0.9102852109143119
cancer_0,AdaBoost,completeness,0.9624414513710903,0.8542652154814399
cancer_1,AdaBoost,completeness,0.9862535428226105,0.8688564933656263
cancer_2,AdaBoost,completeness,0.98779831325928,0.9609831382820311
cancer_3,AdaBoost,completeness,1.015249039343817,0.972358920538384
cancer_4,AdaBoost,completeness,1.0066579883866296,0.9650419128501566
cancer_0,AdaBoost,accuracy,0.9581031007628344,0.9032701383158402
cancer_1,AdaBoost,accuracy,0.9590310345398312,0.9079491446520535
cancer_2,AdaBoost,accuracy,0.9888302449345385,0.8763198669821085
cancer_3,AdaBoost,accuracy,1.0015164132411907,0.8694736114831665
cancer_4,AdaBoost,accuracy,0.987914337363686,0.8783798587315791
cancer_0,SVC,completeness,0.9707874332688102,0.8060236639009759
cancer_1,SVC,completeness,0.9809800495034193,0.7886793106637061
cancer_2,SVC,completeness,0.9931583288600347,0.7720449907864396
cancer_3,SVC,completeness,0.9966235752268694,0.8260785576376212
cancer_4,SVC,completeness,0.9932775797565286,0.7830287075878688
cancer_0,SVC,accuracy,0.7086479191712629,0.6326492151748951
cancer_1,SVC,accuracy,0.6864250666522534,0.6021801057473058
cancer_2,SVC,accuracy,0.854197002779863,0.5194441361224346
cancer_3,SVC,accuracy,0.9277020424038788,0.47137624446698767
cancer_4,SVC,accuracy,0.972432708520253,0.48747679514970094
car_0,DecisionTree,completeness,0.6630249285643295,0.9217273473753671
car_1,DecisionTree,completeness,0.6936265291017918,0.8930284693120452
car_2,DecisionTree,completeness,0.7599969928515904,0.896947010783875
car_3,DecisionTree,completeness,0.8044533314736619,0.9094345039007058
car_4,DecisionTree,completeness,0.9096678956067645,0.9162607180716511
car_0,DecisionTree,accuracy,0.7487057824036155,0.820693493425918
car_1,DecisionTree,accuracy,0.7599131095174347,0.8256471080705491
car_2,DecisionTree,accuracy,0.8287750294768288,0.8253577602478629
car_3,DecisionTree,accuracy,0.8661522405575971,0.8650155631722185
car_4,DecisionTree,accuracy,0.9093940744586475,0.9206613304885821
car_0,LogisticRegression,completeness,0.7579504131002676,0.9247112115956924
car_1,LogisticRegression,completeness,0.7882859338328251,0.886718831805862
car_2,LogisticRegression,completeness,0.809859828224315,0.8919777371545062
car_3,LogisticRegression,completeness,0.8631148760038758,0.8978555157849765
car_4,LogisticRegression,completeness,0.9217090763574654,0.9075355758259721
car_0,LogisticRegression,accuracy,0.852868622966462,0.6648256696241636
car_1,LogisticRegression,accuracy,0.8707511923338551,0.6664734728719152
car_2,LogisticRegression,accuracy,0.8696100562080817,0.6433015579710025
car_3,LogisticRegression,accuracy,0.909243341471924,0.6480592492379239
car_4,LogisticRegression,accuracy,0.958691963421927,0.7831160627456301
car_0,KNN,completeness,0.7061124062417056,0.9365015667803319
car_1,KNN,completeness,0.7537183995283424,0.9304144131145226
car_2,KNN,completeness,0.7446048981796073,0.9299816038342066
car_3,KNN,completeness,0.7648947270526293,0.9471086940707493
car_4,KNN,completeness,0.8309546631160482,0.9542385456817674
car_0,KNN,accuracy,0.6700547435099008,0.6851509940737858
car_1,KNN,accuracy,0.7178420230589991,0.7076390500824418
car_2,KNN,accuracy,0.7510938322916342,0.7495460285681445
car_3,KNN,accuracy,0.7486296220491163,0.7296118750268167
car_4,KNN,accuracy,0.8331792561286261,0.7657924501874575
car_0,RandomForest,completeness,0.6631413747129203,0.9346802769278794
car_1,RandomForest,completeness,0.7093011664055869,0.9190411479199936
car_2,RandomForest,completeness,0.7532544528731315,0.9138878097819019
car_3,RandomForest,completeness,0.8272646962069442,0.9217656010016083
car_4,RandomForest,completeness,0.9100813679864441,0.9326147887222932
car_0,RandomForest,accuracy,0.7077396079668978,0.8597611767914657
car_1,RandomForest,accuracy,0.7574280139753168,0.8709406337874215
car_2,RandomForest,accuracy,0.803539411695879,0.8810673204192518
car_3,RandomForest,accuracy,0.8454830181795133,0.9052076320566469
car_4,RandomForest,accuracy,0.9062583361896985,0.9391873011112848
car_0,AdaBoost,completeness,0.8450068751078788,0.940507525664792
car_1,AdaBoost,completeness,0.8685343489453577,0.9413490791465471
car_2,AdaBoost,completeness,0.8857956480251253,0.93448768512503
car_3,AdaBoost,completeness,0.9010258810721008,0.9672544030737394
car_4,AdaBoost,completeness,0.9366544030729247,0.9726318403396947
car_0,AdaBoost,accuracy,0.924190386454845,0.9074362435712444
car_1,AdaBoost,accuracy,0.927021716915398,0.9316038412796553
car_2,AdaBoost,accuracy,0.9691534146368536,0.9140529777383694
car_3,AdaBoost,accuracy,0.937887228976878,0.9006138314399579
car_4,AdaBoost,accuracy,0.9806768147438604,0.9226895136601524
car_0,SVC,completeness,0.7670388379926579,0.8555185812592802
car_1,SVC,completeness,0.8713973596882115,0.7902879002097135
car_2,SVC,completeness,0.8412784123936566,0.7928385799982731
car_3,SVC,completeness,0.8592155434736758,0.8030945995286405
car_4,SVC,completeness,0.9014955128010068,0.8295616512688319
car_0,SVC,accuracy,0.7430492639631663,0.6230886489288462
car_1,SVC,accuracy,0.702345921605091,0.615877326705396
car_2,SVC,accuracy,0.757188604922588,0.5743668150689827
car_3,SVC,accuracy,0.7226665499999161,0.5658265890599082
car_4,SVC,accuracy,0.8126966485300333,0.6919739893359173
default of credit card clients_0,DecisionTree,completeness,0.9694739942873887,0.8901358374441973
default of credit card clients_1,DecisionTree,completeness,0.9695587650464668,0.8965253410915821
default of credit card clients_2,DecisionTree,completeness,0.9778766149355684,0.878801031094275
default of credit card clients_3,DecisionTree,completeness,0.9866517467805239,0.9109559045978278
default of credit card clients_4,DecisionTree,completeness,0.9906842727142212,0.9308524131693915
default of credit card clients_0,DecisionTree,accuracy,0.9586105590848645,0.8063813028221831
default of credit card clients_1,DecisionTree,accuracy,0.9723764177576661,0.7973196561436782
default of credit card clients_2,DecisionTree,accuracy,0.981384189236648,0.836894631527259
default of credit card clients_3,DecisionTree,accuracy,0.9830420601161156,0.8628861857784873
default of credit card clients_4,DecisionTree,accuracy,0.9903503270135819,0.9157133101811616
default of credit card clients_0,LogisticRegression,completeness,0.9529725019127685,0.8891072252024701
default of credit card clients_1,LogisticRegression,completeness,0.9622780228668909,0.8807509251499296
default of credit card clients_2,LogisticRegression,completeness,0.9605661073916365,0.8766807794487892
default of credit card clients_3,LogisticRegression,completeness,0.9800359472741041,0.9128044972228143
default of credit card clients_4,LogisticRegression,completeness,0.9833615424577833,0.9335467403954921
default of credit card clients_0,LogisticRegression,accuracy,0.8861432284679897,0.6369679814951016
default of credit card clients_1,LogisticRegression,accuracy,0.8814352776052424,0.6118830884132748
default of credit card clients_2,LogisticRegression,accuracy,0.8754795370956077,0.5710704288555452
default of credit card clients_3,LogisticRegression,accuracy,0.879801592351649,0.5844756392960738
default of credit card clients_4,LogisticRegression,accuracy,0.8769388304284892,0.6671663088245227
default of credit card clients_0,KNN,completeness,0.9730609781438002,0.9061088542068199
default of credit card clients_1,KNN,completeness,0.9756076763357108,0.9050449106736675
default of credit card clients_2,KNN,completeness,0.9858190300880061,0.8934116096148055
default of credit card clients_3,KNN,completeness,0.9958608103501038,0.9189751121076168
default of credit card clients_4,KNN,completeness,0.9923469215889554,0.9341935687965786
default of credit card clients_0,KNN,accuracy,0.8777783859277375,0.6793398290185279
default of credit card clients_1,KNN,accuracy,0.876959582849273,0.6725504435168131
default of credit card clients_2,KNN,accuracy,0.8879914548181739,0.7013706893475496
default of credit card clients_3,KNN,accuracy,0.8882558038727474,0.7285352030151353
default of credit card clients_4,KNN,accuracy,0.9015986141313127,0.8165485514386085
default of credit card clients_0,RandomForest,completeness,0.9555696422174929,0.9132848808479855
default of credit card clients_1,RandomForest,completeness,0.9668798310843623,0.9232501926513599
default of credit card clients_2,RandomForest,completeness,0.9799092130140754,0.9156920513256342
default of credit card clients_3,RandomForest,completeness,0.995714153024556,0.9365533521756602
default of credit card clients_4,RandomForest,completeness,1.0053272758189475,0.9471773547973846
default of credit card clients_0,RandomForest,accuracy,0.887087738441718,0.8589323533889114
default of credit card clients_1,RandomForest,accuracy,0.9094402365996422,0.8582119891325009
default of credit card clients_2,RandomForest,accuracy,0.936650436938123,0.8896077657173488
default of credit card clients_3,RandomForest,accuracy,0.9613320159773231,0.907156191712252
default of credit card clients_4,RandomForest,accuracy,0.982748339353785,0.9553956758949999
default of credit card clients_0,AdaBoost,completeness,0.9614157170566682,0.9570770730584252
default of credit card clients_1,AdaBoost,completeness,0.9651934598089741,0.9503124114913147
default of credit card clients_2,AdaBoost,completeness,0.9688840485394994,0.8802369447295039
default of credit card clients_3,AdaBoost,completeness,0.984764249860859,0.9135398571392204
default of credit card clients_4,AdaBoost,completeness,0.9873764466203584,0.9492614710990331
default of credit card clients_0,AdaBoost,accuracy,0.9514743721179658,0.8804071661295069
default of credit card clients_1,AdaBoost,accuracy,0.9584982927127605,0.865337320590828
default of credit card clients_2,AdaBoost,accuracy,0.969981580529728,0.8429336377067133
default of credit card clients_3,AdaBoost,accuracy,0.9836772237520879,0.869037995189473
default of credit card clients_4,AdaBoost,accuracy,0.9882488472191432,0.9354055880299352
default of credit card clients_0,SVC,completeness,0.7413185518668671,0.7790045522328636
default of credit card clients_1,SVC,completeness,0.8370044480994956,0.7334088026924105
default of credit card clients_2,SVC,completeness,0.8762411978314154,0.7527808632634728
default of credit card clients_3,SVC,completeness,0.8941814572251621,0.8352971124777752
default of credit card clients_4,SVC,completeness,0.7823369283124555,0.8717696735590292
default of credit card clients_0,SVC,accuracy,1.0164275346016451,0.5558194180273529
default of credit card clients_1,SVC,accuracy,1.0345691924352853,0.5335280277287636
default of credit card clients_2,SVC,accuracy,1.037699825621439,0.47302465404160376
default of credit card clients_3,SVC,accuracy,1.0317272058853288,0.5050377769917497
default of credit card clients_4,SVC,accuracy,1.0296244435249624,0.5979968653800647
drug_0,DecisionTree,completeness,0.541404639796207,0.9602181646318763
drug_1,DecisionTree,completeness,0.7233251036885783,0.8814282774931695
drug_2,DecisionTree,completeness,0.6615385439112674,0.8689924345482082
drug_3,DecisionTree,completeness,0.7503988202707174,0.9259269814969903
drug_4,DecisionTree,completeness,0.8916018006165743,0.9259269814969903
drug_0,DecisionTree,accuracy,0.5600374566785392,0.7758205502392747
drug_1,DecisionTree,accuracy,0.5901792595172031,0.8217614747714415
drug_2,DecisionTree,accuracy,0.7370446786262276,0.8355729838483088
drug_3,DecisionTree,accuracy,0.7938500135240989,0.8445500725083882
drug_4,DecisionTree,accuracy,0.8872152693749372,0.9324916907851277
drug_0,LogisticRegression,completeness,0.5998831671893082,0.9659836370881644
drug_1,LogisticRegression,completeness,0.7376211381667064,0.8684410186642989
drug_2,LogisticRegression,completeness,0.6947865637082858,0.8664427768931038
drug_3,LogisticRegression,completeness,0.7469914369578307,0.924669123449082
drug_4,LogisticRegression,completeness,0.9013083915747226,0.9246691234490819
drug_0,LogisticRegression,accuracy,0.4577360628007351,0.6156586031842738
drug_1,LogisticRegression,accuracy,0.39903958453386396,0.6223898304467397
drug_2,LogisticRegression,accuracy,0.3989492031550603,0.6357255783161107
drug_3,LogisticRegression,accuracy,0.4556417186094198,0.5771171092083017
drug_4,LogisticRegression,accuracy,0.7140543836321053,0.7347999730789487
drug_0,KNN,completeness,0.4883166721792789,0.9692089357127689
drug_1,KNN,completeness,0.6780599867190986,0.9099853318851004
drug_2,KNN,completeness,0.5887944898858875,0.8940828900628153
drug_3,KNN,completeness,0.5974990032846149,0.9612680578895972
drug_4,KNN,completeness,0.825391172508697,0.9612680578895972
drug_0,KNN,accuracy,0.41827006148848833,0.6482224489367068
drug_1,KNN,accuracy,0.4881052545394086,0.6763126328245651
drug_2,KNN,accuracy,0.5427007967856353,0.7389118999530597
drug_3,KNN,accuracy,0.5561752210628357,0.7062074861366371
drug_4,KNN,accuracy,0.8096595918935362,0.8346416235316548
drug_0,RandomForest,completeness,0.5637582459135486,0.9685276743344211
drug_1,RandomForest,completeness,0.6822660470319752,0.9030871182066643
drug_2,RandomForest,completeness,0.7052979669405226,0.8782432992470228
drug_3,RandomForest,completeness,0.7513351792279687,0.9372087158596504
drug_4,RandomForest,completeness,0.8937263258001572,0.9372087158596504
