name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,Length,4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,DecisionTree,0.173426685038176,0.17286383465967184,0.17321540994130158,0.17198893921155822,0.16301074142206018,0.16560632916018994,0.16751606129561242,0.16565898906584947,0.16751931609918666
abalone,Length,4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,LogisticRegression,0.11556882110498984,0.17256772120827488,0.1731993208116983,0.1373442664692839,0.13181015482605307,0.16093063722532253,0.16219029632166712,0.16178957666997615,0.16018712149108374
abalone,Length,4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,KNN,0.16274269399075222,0.17268455665631652,0.1571915751410558,0.17400384610010722,0.16570338319621863,0.1674331419287137,0.16776975388436047,0.16783448493321435,0.1618614250192219
abalone,Length,4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,RandomForest,0.1808120212792923,0.18439649404382696,0.18989637353402444,0.18500819749536235,0.17782662822151185,0.17871048251547003,0.18003793890282,0.1800143218043863,0.18038927887537176
abalone,Length,4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,AdaBoost,0.08689310377337314,0.07978269338736849,0.07978269338736849,0.07846603394416683,0.08934876755903604,0.08861277394857373,0.08861277394857373,0.08861277394857373,0.08861277394857373
abalone,Length,4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,SVC,0.09715189279395285,0.12069373290507993,0.1405406398272252,0.11643332739158446,0.11416381589661007,0.12793515029434588,0.12274960157274181,0.12799772102936713,0.141434698394997
abalone,Length,4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,DecisionTree,0.1688704886439994,0.17382816153585468,0.1811443820801952,0.17371063387224417,0.16165327162115503,0.17189305068477256,0.1724536664879868,0.1718711651383193,0.16962826157472338
abalone,Length,4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,LogisticRegression,0.12936660984808404,0.16958654513203547,0.17094552564186605,0.14126947394877637,0.1684664119992772,0.1670611705715867,0.1684814361955495,0.1676215578839651,0.16794850187037352
abalone,Length,4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,KNN,0.15135916678996905,0.14794206931876466,0.154661060422949,0.15854385150272698,0.14662424262872886,0.16458849459694883,0.15051222476181153,0.16257167616525275,0.15162299133394028
abalone,Length,4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,RandomForest,0.17995234311821157,0.18568556161096206,0.18365415458825063,0.17529130925577444,0.17854011021900384,0.17745956141325214,0.17386577646653634,0.17722062271004202,0.17980267897645946
abalone,Length,4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,AdaBoost,0.08681339519755421,0.08681339519755421,0.08681339519755421,0.08033190111680921,0.09105937584651,0.09547004440461432,0.09532588290290035,0.09547004440461432,0.08872134971461539
abalone,Length,4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,SVC,0.09792765409156182,0.14783651928421862,0.14800216818454717,0.10592428534627059,0.1341007356923463,0.1401756171431942,0.1326833742733125,0.14367207104648433,0.13435773668002798
abalone,Length,4177,0.4012,0.0524,0.075,0.78,0.5257,0.55,0.121,-0.6704,0.0628,0.075,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5041,0.0056,DecisionTree,0.1853566075088631,0.18246464608169763,0.1855205157949382,0.1711967047079388,0.1761119145656322,0.17129585536210806,0.17816153197579776,0.17161606851240346,0.18061356041553864
abalone,Length,4177,0.4012,0.0524,0.075,0.78,0.5257,0.55,0.121,-0.6704,0.0628,0.075,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5041,0.0056,LogisticRegression,0.12623098012022776,0.1797288341203338,0.17826855962175714,0.14642688396444564,0.16186395408324328,0.18558732197275857,0.18444790386271676,0.18753864299032463,0.18495480390427396
