name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,Length,4177,0.4984,0.0625,0.11,0.815,0.5242,0.54,0.1192,-0.6258,0.1468,0.08,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,4.4964,0.0055,DecisionTree,0.1450137712192621,0.1483494146143684,0.15640447962822357,0.1618088499233542,0.1433409491205443,0.14778305888503612,0.14778305888503612,0.14778305888503612,0.14002221478259722
abalone,Length,4177,0.4984,0.0625,0.11,0.815,0.5242,0.54,0.1192,-0.6258,0.1468,0.08,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,4.4964,0.0055,LogisticRegression,0.1266851010033807,0.16099809215676392,0.1591752534614361,0.14974979799646349,0.15833125141240953,0.1611817869429959,0.16065015322504353,0.16046547393433053,0.1582091011522993
abalone,Length,4177,0.4984,0.0625,0.11,0.815,0.5242,0.54,0.1192,-0.6258,0.1468,0.08,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,4.4964,0.0055,KNN,0.15627389139033454,0.16004731673477005,0.15217004481148777,0.1531549865454404,0.1579975345077026,0.1616672141470194,0.15891981204567945,0.16479164791785952,0.16181062387684347
abalone,Length,4177,0.4984,0.0625,0.11,0.815,0.5242,0.54,0.1192,-0.6258,0.1468,0.08,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,4.4964,0.0055,RandomForest,0.15015015559074676,0.15581578208013103,0.15915608067156756,0.165626673575099,0.15704535514640738,0.15776112493509034,0.15595919909460398,0.15289605215082008,0.15424046775940703
abalone,Length,4177,0.4984,0.0625,0.11,0.815,0.5242,0.54,0.1192,-0.6258,0.1468,0.08,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,4.4964,0.0055,AdaBoost,0.09014808332208478,0.09372443932998528,0.09372443932998528,0.0935763492624074,0.09367517755033868,0.0943534273995244,0.0943534273995244,0.0943534273995244,0.09332451640883181
abalone,Length,4177,0.4984,0.0625,0.11,0.815,0.5242,0.54,0.1192,-0.6258,0.1468,0.08,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,4.4964,0.0055,SVC,0.10862045034260963,0.12697348252880375,0.12032327902420113,0.13033567128556575,0.12754171325013944,0.11530169762539054,0.10513766205779985,0.10645134997052767,0.12715701640640156
abalone,Length,4177,0.4537,0.0565,0.075,0.78,0.5248,0.545,0.1195,-0.6736,0.1595,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5038,0.0057,DecisionTree,0.1761089925004305,0.17679017159583307,0.18262401404151216,0.1690144034104945,0.1630451720965311,0.16920668420471965,0.16888393652141812,0.16920668420471965,0.17066118774730712
abalone,Length,4177,0.4537,0.0565,0.075,0.78,0.5248,0.545,0.1195,-0.6736,0.1595,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5038,0.0057,LogisticRegression,0.11554782407379853,0.170965467159912,0.16584860583500216,0.15508446635840378,0.17202948732005566,0.1726776584498586,0.1724100049982206,0.17270579941593886,0.17022570016434563
abalone,Length,4177,0.4537,0.0565,0.075,0.78,0.5248,0.545,0.1195,-0.6736,0.1595,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5038,0.0057,KNN,0.17431282676736082,0.17483168103198682,0.1773071000318449,0.161104286178457,0.17795360161738671,0.1673416424710057,0.16594728965047623,0.16729089172962755,0.17179666954595402
abalone,Length,4177,0.4537,0.0565,0.075,0.78,0.5248,0.545,0.1195,-0.6736,0.1595,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5038,0.0057,RandomForest,0.17795593928037953,0.18003584999033045,0.17977984615738873,0.17310211908118062,0.1778760718221167,0.17376577952766836,0.17755712930325446,0.17587157426406702,0.17972619092640868
abalone,Length,4177,0.4537,0.0565,0.075,0.78,0.5248,0.545,0.1195,-0.6736,0.1595,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5038,0.0057,AdaBoost,0.09539481286095502,0.09731668293938878,0.09731668293938878,0.09142533464230933,0.1144799498647722,0.0916671890461611,0.0916671890461611,0.0916671890461611,0.09668954148377273
abalone,Length,4177,0.4537,0.0565,0.075,0.78,0.5248,0.545,0.1195,-0.6736,0.1595,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5038,0.0057,SVC,0.11338026549266737,0.12898782742022447,0.12057404470145228,0.1044136987112104,0.13972766895832756,0.11236971250629456,0.11963042254440046,0.13558076434514224,0.1228679107654846
abalone,Length,4177,0.3941,0.0518,0.075,0.8,0.5253,0.545,0.1226,-0.6583,0.0989,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5262,0.0056,DecisionTree,0.17439800877059597,0.16843524119343062,0.17606966104168376,0.17294719900257974,0.17668392765219626,0.16778553151142908,0.16752146515073488,0.16749783634341434,0.1730539599584794
abalone,Length,4177,0.3941,0.0518,0.075,0.8,0.5253,0.545,0.1226,-0.6583,0.0989,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5262,0.0056,LogisticRegression,0.12418891985487096,0.17839038179715025,0.17749391951212065,0.16534677909773832,0.14939114584920982,0.1740066460077239,0.1747475567763519,0.17473244732484203,0.18458266865286532
abalone,Length,4177,0.3941,0.0518,0.075,0.8,0.5253,0.545,0.1226,-0.6583,0.0989,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5262,0.0056,KNN,0.17557876356995988,0.1648071591901452,0.1714405254467226,0.15526737086745573,0.1773815492426851,0.17323043087697693,0.16821144594573162,0.171246455660279,0.1684783949393259
abalone,Length,4177,0.3941,0.0518,0.075,0.8,0.5253,0.545,0.1226,-0.6583,0.0989,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5262,0.0056,RandomForest,0.1827834660181879,0.18617500945512624,0.1847025150242829,0.1781195679803059,0.17859329142718178,0.17568730997156018,0.17664058293295057,0.1802797669170712,0.19041103410211857
abalone,Length,4177,0.3941,0.0518,0.075,0.8,0.5253,0.545,0.1226,-0.6583,0.0989,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5262,0.0056,AdaBoost,0.08884352813623705,0.0914847795741924,0.0914847795741924,0.07816001265405606,0.09876258796409773,0.09481994558735744,0.09481994558735744,0.09481994558735744,0.0914847795741924
abalone,Length,4177,0.3941,0.0518,0.075,0.8,0.5253,0.545,0.1226,-0.6583,0.0989,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5262,0.0056,SVC,0.123087757776121,0.14711595166345565,0.14750169406664682,0.156178255354199,0.12146858812888729,0.14375518936856407,0.1462394465369084,0.14605798536437672,0.1365845250647082
abalone,Length,4177,0.3376,0.0473,0.075,0.815,0.5233,0.545,0.1211,-0.6531,0.0551,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5113,0.005,DecisionTree,0.19338062936357203,0.1967235126388292,0.19519333977433684,0.18771482660951716,0.19084878239787512,0.19222305891908842,0.19222305891908842,0.19222305891908842,0.19886734101368617
abalone,Length,4177,0.3376,0.0473,0.075,0.815,0.5233,0.545,0.1211,-0.6531,0.0551,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5113,0.005,LogisticRegression,0.12323606580215377,0.18870100233467174,0.18956872163281363,0.1692377555011646,0.1801317178728087,0.19807084048647794,0.1985581575199916,0.19868678475490115,0.19775614729898655
abalone,Length,4177,0.3376,0.0473,0.075,0.815,0.5233,0.545,0.1211,-0.6531,0.0551,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5113,0.005,KNN,0.1781497583110865,0.17339484075934186,0.16386368420027697,0.17139946664468603,0.1712437331444151,0.17270643453828002,0.17282078157849687,0.17066927230830856,0.17407415198801987
abalone,Length,4177,0.3376,0.0473,0.075,0.815,0.5233,0.545,0.1211,-0.6531,0.0551,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5113,0.005,RandomForest,0.19951691332505167,0.201817849671066,0.20345236291904595,0.19381039648324916,0.19491720075594993,0.19636404884072534,0.20045318036745596,0.19878938864832718,0.19767642947801095
abalone,Length,4177,0.3376,0.0473,0.075,0.815,0.5233,0.545,0.1211,-0.6531,0.0551,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5113,0.005,AdaBoost,0.08610617511402507,0.10693638071386612,0.10693638071386612,0.08654126760560385,0.09194172477002494,0.08714346589795667,0.08714346589795667,0.08714346589795667,0.08685810445048088
abalone,Length,4177,0.3376,0.0473,0.075,0.815,0.5233,0.545,0.1211,-0.6531,0.0551,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5113,0.005,SVC,0.11407242430735264,0.15599861366145498,0.15880165990495035,0.1283312410480817,0.13410706220389268,0.16106083099807933,0.1503313613479357,0.15598244037000286,0.15312852279630007
abalone,Length,4177,0.3021,0.0446,0.075,0.78,0.5239,0.545,0.1201,-0.6449,0.0446,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5086,0.0057,DecisionTree,0.17846854735536652,0.18452888555475472,0.19040052843757,0.18416154104653282,0.19268902014111672,0.18778648457947858,0.18731961770684402,0.18778648457947858,0.1839376573766386
abalone,Length,4177,0.3021,0.0446,0.075,0.78,0.5239,0.545,0.1201,-0.6449,0.0446,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5086,0.0057,LogisticRegression,0.1277246308968154,0.18825940023190985,0.18448924107321504,0.17503054983725397,0.1909567663400598,0.19162039054844054,0.1901126954169776,0.18982786995445053,0.18164408381548158
abalone,Length,4177,0.3021,0.0446,0.075,0.78,0.5239,0.545,0.1201,-0.6449,0.0446,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5086,0.0057,KNN,0.17051443060942112,0.17000675056645537,0.16993073785410517,0.17020773071132056,0.1726704024021321,0.1699498315776323,0.16835659646824286,0.16874534488373266,0.16878941964827615
abalone,Length,4177,0.3021,0.0446,0.075,0.78,0.5239,0.545,0.1201,-0.6449,0.0446,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5086,0.0057,RandomForest,0.1898777730524153,0.1978949262331877,0.19415788421260438,0.19424769403918457,0.19152359596745205,0.1908352774336654,0.19295440285247184,0.19297549769898364,0.1955373433701521
abalone,Length,4177,0.3021,0.0446,0.075,0.78,0.5239,0.545,0.1201,-0.6449,0.0446,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5086,0.0057,AdaBoost,0.08951172002579913,0.10658147031202937,0.11408655571694296,0.08388094706924519,0.12466761866589786,0.11324009835327087,0.11324009835327087,0.11324009835327087,0.10578299682360451
abalone,Length,4177,0.3021,0.0446,0.075,0.78,0.5239,0.545,0.1201,-0.6449,0.0446,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5086,0.0057,SVC,0.11872136851237859,0.1536509245886053,0.16102858248477708,0.13235088127841357,0.15672328015898196,0.15098452368266585,0.14956725248622932,0.14968857830300628,0.15541115994601234
abalone,Length,4177,0.2483,0.0417,0.11,0.815,0.523,0.54,0.1204,-0.6323,0.0091,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5084,0.0056,DecisionTree,0.1766748961277016,0.19201674040484287,0.1945874672087899,0.18781472576599867,0.18675666746389,0.19229515346964746,0.1870699541162225,0.19229515346964746,0.194810854930244
abalone,Length,4177,0.2483,0.0417,0.11,0.815,0.523,0.54,0.1204,-0.6323,0.0091,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5084,0.0056,LogisticRegression,0.1251415511664287,0.19170313810094106,0.1921415129038896,0.17177575394345382,0.17697093269588834,0.19873174088160417,0.19706995610522182,0.19713092514910688,0.1950185098290936
abalone,Length,4177,0.2483,0.0417,0.11,0.815,0.523,0.54,0.1204,-0.6323,0.0091,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5084,0.0056,KNN,0.18727602753615966,0.1870398846019073,0.17992318017169928,0.17125928222319464,0.18580701984976955,0.18168047891173525,0.18681608993548832,0.18176644935455413,0.18317355373942718
abalone,Length,4177,0.2483,0.0417,0.11,0.815,0.523,0.54,0.1204,-0.6323,0.0091,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5084,0.0056,RandomForest,0.19875513797572023,0.19958609686716366,0.2028563990542958,0.19646332513187045,0.2028127368308622,0.20255784315372471,0.19887695556347423,0.20215427198128086,0.20081189296100668
abalone,Length,4177,0.2483,0.0417,0.11,0.815,0.523,0.54,0.1204,-0.6323,0.0091,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5084,0.0056,AdaBoost,0.08291245952103518,0.08943109314692764,0.08943109314692764,0.08648799796289411,0.08943109314692764,0.08913444054316415,0.08913444054316415,0.08913444054316415,0.08943109314692764
abalone,Length,4177,0.2483,0.0417,0.11,0.815,0.523,0.54,0.1204,-0.6323,0.0091,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5084,0.0056,SVC,0.11560268137082122,0.14064305853084735,0.13986549709569834,0.15389062438893383,0.15639321417656935,0.15562151425624882,0.15716155175421626,0.15433082552567398,0.1612446210025616
abalone,Length,4177,0.1951,0.0396,0.075,0.815,0.5231,0.545,0.1205,-0.6344,0.0381,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5139,0.0055,DecisionTree,0.1927603545768289,0.19822269087912978,0.19855865461803146,0.17567916759298902,0.19923798202856408,0.2048835426809575,0.20524840328572913,0.2048835426809575,0.20005184784314867
abalone,Length,4177,0.1951,0.0396,0.075,0.815,0.5231,0.545,0.1205,-0.6344,0.0381,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5139,0.0055,LogisticRegression,0.13204072738102743,0.20253915948782286,0.2026577277397523,0.1892292252229088,0.20483257738318675,0.2098352581133652,0.20861627783685213,0.20966153423003278,0.20336569740114555
abalone,Length,4177,0.1951,0.0396,0.075,0.815,0.5231,0.545,0.1205,-0.6344,0.0381,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5139,0.0055,KNN,0.17829315427578973,0.1866055348297189,0.18089190136350702,0.176527404172798,0.18703799160921086,0.19134461046550336,0.18805182504543688,0.19135225254208238,0.18543831771404512
abalone,Length,4177,0.1951,0.0396,0.075,0.815,0.5231,0.545,0.1205,-0.6344,0.0381,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5139,0.0055,RandomForest,0.20792486680298944,0.20560288928623552,0.2048704835789137,0.18191961823005082,0.2052619448722975,0.2028053174271787,0.2012904730322567,0.2064512111148584,0.20175400524537432
abalone,Length,4177,0.1951,0.0396,0.075,0.815,0.5231,0.545,0.1205,-0.6344,0.0381,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5139,0.0055,AdaBoost,0.1249665062439528,0.12536788606524873,0.12272672587029093,0.09766108064961163,0.11052329518511789,0.11613704967761916,0.1281586362479165,0.11814873967202337,0.10794692411943074
abalone,Length,4177,0.1951,0.0396,0.075,0.815,0.5231,0.545,0.1205,-0.6344,0.0381,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5139,0.0055,SVC,0.13477344061698007,0.1561838328790601,0.15776493126336102,0.150943142833151,0.15168297151738408,0.15893299740602795,0.15170835619232034,0.13939997201457202,0.16567107945003215
abalone,Length,4177,0.1391,0.037,0.075,0.815,0.5233,0.545,0.1205,-0.6352,0.0852,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5186,0.0053,DecisionTree,0.1972551515905506,0.2102806925399333,0.21157144455469587,0.20273759627577623,0.20613546180176728,0.21096144841973705,0.2102336787133237,0.21072989385521196,0.2098884882224062
abalone,Length,4177,0.1391,0.037,0.075,0.815,0.5233,0.545,0.1205,-0.6352,0.0852,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5186,0.0053,LogisticRegression,0.1460483657276558,0.20599823435457992,0.20383668835675903,0.1953324603547129,0.20798028064911367,0.21373447400194856,0.2144401529440986,0.21341721943469416,0.20489701712192693
abalone,Length,4177,0.1391,0.037,0.075,0.815,0.5233,0.545,0.1205,-0.6352,0.0852,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5186,0.0053,KNN,0.19925259164191866,0.1936434969849263,0.19186145593826093,0.19150709051687462,0.194616617493371,0.18502646843353368,0.19691061327976908,0.18996734849218844,0.19730347942116108
abalone,Length,4177,0.1391,0.037,0.075,0.815,0.5233,0.545,0.1205,-0.6352,0.0852,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5186,0.0053,RandomForest,0.21075136449648288,0.2106897943672847,0.20612786847615422,0.21434792342842696,0.207460604019066,0.2118712096106704,0.2088182510091913,0.21179451770610122,0.21237236587765673
abalone,Length,4177,0.1391,0.037,0.075,0.815,0.5233,0.545,0.1205,-0.6352,0.0852,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5186,0.0053,AdaBoost,0.09318564083137174,0.09812371355671752,0.09812371355671752,0.10033763906638803,0.10003832533962029,0.10050683819396504,0.10050683819396504,0.10050683819396504,0.10716843826862617
abalone,Length,4177,0.1391,0.037,0.075,0.815,0.5233,0.545,0.1205,-0.6352,0.0852,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5186,0.0053,SVC,0.13484963749552534,0.15358783592651354,0.15070229807898614,0.16772725219732038,0.16207054610437532,0.17721202746000553,0.17680017091990397,0.16469629941530056,0.16459300671656635
abalone,Length,4177,0.113,0.0359,0.075,0.815,0.5241,0.545,0.1204,-0.6414,0.0404,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.516,0.0055,DecisionTree,0.2031798283848637,0.20030445316893725,0.20167766221524697,0.20558064347341662,0.20262495428346017,0.2070383819758319,0.2070383819758319,0.2070383819758319,0.20730420879193578
abalone,Length,4177,0.113,0.0359,0.075,0.815,0.5241,0.545,0.1204,-0.6414,0.0404,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.516,0.0055,LogisticRegression,0.14513577206321476,0.20610277094934534,0.20123785591501084,0.1925046425717276,0.20038841003799454,0.2033789715428166,0.2034736270371741,0.20387684063723455,0.2085906924696218
abalone,Length,4177,0.113,0.0359,0.075,0.815,0.5241,0.545,0.1204,-0.6414,0.0404,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.516,0.0055,KNN,0.18843548885302558,0.18672090432800345,0.18090586487520438,0.18845807869513342,0.1862527294838233,0.18364608002245603,0.181812920032959,0.18342683823000344,0.1858169326354029
abalone,Length,4177,0.113,0.0359,0.075,0.815,0.5241,0.545,0.1204,-0.6414,0.0404,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.516,0.0055,RandomForest,0.2101414814811107,0.21177150267541586,0.20924115969693982,0.2100158292224544,0.20949769012954614,0.20497557414830553,0.2030722232120408,0.21055290576981028,0.2094308747262218
abalone,Length,4177,0.113,0.0359,0.075,0.815,0.5241,0.545,0.1204,-0.6414,0.0404,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.516,0.0055,AdaBoost,0.09577413456968438,0.09794741743397055,0.09794741743397055,0.0960368607067117,0.10795789194699204,0.09810178084914727,0.09756490667935884,0.09810178084914727,0.10618349046536174
abalone,Length,4177,0.113,0.0359,0.075,0.815,0.5241,0.545,0.1204,-0.6414,0.0404,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.516,0.0055,SVC,0.13627432624705746,0.167442769061229,0.17655550483681526,0.1406148522451109,0.16392479678229682,0.1580180955026092,0.15726581563429556,0.1564808726527877,0.17809839529727364
abalone,Length,4177,0.0531,0.0339,0.075,0.815,0.5236,0.54,0.1205,-0.6317,0.0509,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.519,0.0054,DecisionTree,0.20621810081959663,0.21200894137005988,0.20901001236737402,0.20460992414881032,0.20311997604896548,0.2101865720629043,0.21226475386075475,0.2101865720629043,0.20944972920500843
