name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,Length,4177,0.4953,0.0612,0.11,0.815,0.5227,0.545,0.1206,-0.6166,0.047,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5116,0.0057,DecisionTree,0.17398042868614727,0.17152539273933357,0.16983970875254906,0.17362529798933105,0.1781896655649035,0.16654747348108986,0.16672425990928633,0.16772207319280008,0.17276894354666128
abalone,Length,4177,0.4953,0.0612,0.11,0.815,0.5227,0.545,0.1206,-0.6166,0.047,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5116,0.0057,LogisticRegression,0.11063271822466572,0.1613388799231955,0.1559877994392862,0.14380967971187847,0.16636322226259642,0.16363675457681576,0.1645118628582604,0.16404178042565182,0.154688980398194
abalone,Length,4177,0.4953,0.0612,0.11,0.815,0.5227,0.545,0.1206,-0.6166,0.047,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5116,0.0057,KNN,0.17232754577859138,0.16548081212243046,0.1681943073912266,0.14842881787786777,0.16953352376625683,0.16087135592974872,0.16203125575478017,0.16101927789356996,0.16538793618404102
abalone,Length,4177,0.4953,0.0612,0.11,0.815,0.5227,0.545,0.1206,-0.6166,0.047,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5116,0.0057,RandomForest,0.18736696060576818,0.18181101967205077,0.18027783094129857,0.17807040576513844,0.18168062998182916,0.17682291401392514,0.17399024846669994,0.17616471864210265,0.18492253806451273
abalone,Length,4177,0.4953,0.0612,0.11,0.815,0.5227,0.545,0.1206,-0.6166,0.047,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5116,0.0057,AdaBoost,0.0941494479767076,0.08605945136234275,0.09429986428351984,0.08507311815668409,0.11240698456061847,0.11398129537414853,0.1147102580116453,0.1147102580116453,0.10302895925233455
abalone,Length,4177,0.4953,0.0612,0.11,0.815,0.5227,0.545,0.1206,-0.6166,0.047,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5116,0.0057,SVC,0.1179218706881682,0.12477128673377175,0.13424349216835074,0.1326365851461706,0.1360541647146169,0.141814523283946,0.13217372928647697,0.13641857702422627,0.13824256202420876
abalone,Length,4177,0.4472,0.0563,0.075,0.78,0.5253,0.545,0.1206,-0.6856,0.1717,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5063,0.0053,DecisionTree,0.18562238741291798,0.18266655421680547,0.18383916561493313,0.1685339217993524,0.17662748604977152,0.1742672441169673,0.17957971451712157,0.17401464623710455,0.17963854687893868
abalone,Length,4177,0.4472,0.0563,0.075,0.78,0.5253,0.545,0.1206,-0.6856,0.1717,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5063,0.0053,LogisticRegression,0.12864070593276047,0.17424231481568642,0.1751641132463665,0.1485231276407548,0.18109267891662478,0.17261522729490092,0.17334764427339916,0.1720586730196137,0.17624688223179483
abalone,Length,4177,0.4472,0.0563,0.075,0.78,0.5253,0.545,0.1206,-0.6856,0.1717,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5063,0.0053,KNN,0.16434404108079614,0.16500996292135406,0.16846716020365102,0.15318574157585585,0.16515725004749354,0.16778888503343165,0.15676333872032147,0.16658191479478937,0.16218316806108674
abalone,Length,4177,0.4472,0.0563,0.075,0.78,0.5253,0.545,0.1206,-0.6856,0.1717,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5063,0.0053,RandomForest,0.19398809581435034,0.18841737903780956,0.18560933815510391,0.17820538733992297,0.18705223124016374,0.18026341135824434,0.1841500803230164,0.17952362609273723,0.18558449012399478
