name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,Length,4177,0.5025,0.0611,0.11,0.78,0.5236,0.545,0.1202,-0.6367,0.0152,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5031,0.0059,DecisionTree,0.16699270944641467,0.17317543194117802,0.1719755955578779,0.16745019068140207,0.16786649464112963,0.16061425163048432,0.16100780950965352,0.15872686989349472,0.17394109882617964
abalone,Length,4177,0.5025,0.0611,0.11,0.78,0.5236,0.545,0.1202,-0.6367,0.0152,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5031,0.0059,LogisticRegression,0.11107084793428891,0.1699035954766322,0.1637914937277805,0.14768708515847903,0.1598261465121119,0.1578579340182149,0.15511079273444908,0.15767691310594825,0.17017343907361382
abalone,Length,4177,0.5025,0.0611,0.11,0.78,0.5236,0.545,0.1202,-0.6367,0.0152,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5031,0.0059,KNN,0.15709725942507902,0.15967577781665898,0.15274981111033742,0.15911699629121595,0.15703275109209383,0.15581787437457334,0.15890168336272925,0.15568428417106195,0.1562640025831161
abalone,Length,4177,0.5025,0.0611,0.11,0.78,0.5236,0.545,0.1202,-0.6367,0.0152,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5031,0.0059,RandomForest,0.172771938658657,0.1748912800872119,0.17410141138976062,0.17292250437797566,0.16871715393145637,0.16835945828885632,0.17044940647664072,0.1670183627155869,0.17377102531145014
abalone,Length,4177,0.5025,0.0611,0.11,0.78,0.5236,0.545,0.1202,-0.6367,0.0152,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5031,0.0059,AdaBoost,0.08225148379465344,0.08006299269304534,0.08006299269304534,0.08108668033697057,0.08236313987458839,0.08236313987458839,0.08236313987458839,0.08236313987458839,0.08006299269304534
abalone,Length,4177,0.5025,0.0611,0.11,0.78,0.5236,0.545,0.1202,-0.6367,0.0152,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5031,0.0059,SVC,0.11498447580700036,0.14881839229858262,0.1425528732034476,0.1359602998573032,0.1333437095959278,0.13709627425996335,0.13670719022964117,0.12771371419808591,0.1297189500240994
abalone,Length,4177,0.4475,0.0555,0.075,0.8,0.5238,0.54,0.12,-0.6326,0.1215,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5028,0.0058,DecisionTree,0.1830155649426777,0.1823592192434637,0.17585963319979367,0.17551078061990782,0.18170423301338992,0.17541122716663549,0.1751504483321927,0.17541122716663549,0.18332558570441074
abalone,Length,4177,0.4475,0.0555,0.075,0.8,0.5238,0.54,0.12,-0.6326,0.1215,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5028,0.0058,LogisticRegression,0.12174741910838392,0.16832463698429792,0.1689332590061338,0.14926200932608616,0.17264752654631635,0.17925247680772688,0.17916197342464768,0.1790444536260375,0.1787527271577131
abalone,Length,4177,0.4475,0.0555,0.075,0.8,0.5238,0.54,0.12,-0.6326,0.1215,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5028,0.0058,KNN,0.16054223431555445,0.1686513115402612,0.1671300050954677,0.16486814907356512,0.15996193115864427,0.1621245351218488,0.16025339675846417,0.16604453875462577,0.16006835386133458
abalone,Length,4177,0.4475,0.0555,0.075,0.8,0.5238,0.54,0.12,-0.6326,0.1215,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5028,0.0058,RandomForest,0.1878463611283843,0.1834072705276788,0.18069736858341456,0.18479137708502041,0.18871379917466982,0.18159387470413643,0.18446549110188917,0.184246955551513,0.1822679442283572
abalone,Length,4177,0.4475,0.0555,0.075,0.8,0.5238,0.54,0.12,-0.6326,0.1215,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5028,0.0058,AdaBoost,0.08298415850352328,0.10374530133150225,0.10374530133150225,0.08473823567874018,0.0935148459007405,0.09476523163723213,0.09516233693928058,0.09476523163723213,0.10565255200945421
